,Age,Sex,Credit amount,Duration,default
0,67,male,1169,6,good
1,22,female,5951,48,bad
2,49,male,2096,12,good
3,45,male,7882,42,good
4,53,male,4870,24,bad
5,35,male,9055,36,good
6,53,male,2835,24,good
7,35,male,6948,36,good
8,61,male,3059,12,good
9,28,male,5234,30,bad
10,25,female,1295,12,bad
11,24,female,4308,48,bad
12,22,female,1567,12,good
13,60,male,1199,24,bad
14,28,female,1403,15,good
15,32,female,1282,24,bad
16,53,male,2424,24,good
17,25,male,8072,30,good
18,44,female,12579,24,bad
19,31,male,3430,24,good
20,48,male,2134,9,good
21,44,male,2647,6,good
22,48,male,2241,10,good
23,44,male,1804,12,good
24,26,male,2069,10,good
25,36,male,1374,6,good
26,39,male,426,6,good
27,42,female,409,12,good
28,34,male,2415,7,good
29,63,male,6836,60,bad
30,36,male,1913,18,good
31,27,male,4020,24,good
32,30,male,5866,18,good
33,57,male,1264,12,good
34,33,female,1474,12,good
35,25,male,4746,45,bad
36,31,male,6110,48,good
37,37,male,2100,18,bad
38,37,male,1225,10,good
39,24,male,458,9,good
40,30,male,2333,30,good
41,26,male,1158,12,good
42,44,male,6204,18,good
43,24,male,6187,30,good
44,58,female,6143,48,bad
45,35,female,1393,11,good
46,39,male,2299,36,good
47,23,female,1352,6,good
48,39,male,7228,11,good
49,28,female,2073,12,good
50,29,male,2333,24,good
51,30,male,5965,27,good
52,25,male,1262,12,good
53,31,male,3378,18,good
54,57,male,2225,36,bad
55,26,male,783,6,good
56,52,male,6468,12,bad
57,31,female,9566,36,good
58,23,female,1961,18,good
59,23,female,6229,36,bad
60,27,male,1391,9,good
61,50,male,1537,15,good
62,61,male,1953,36,bad
63,25,male,14421,48,bad
64,26,female,3181,24,good
65,48,male,5190,27,good
66,29,female,2171,12,good
67,22,male,1007,12,good
68,37,male,1819,36,bad
69,25,female,2394,36,good
70,30,female,8133,36,good
71,46,male,730,7,good
72,51,male,1164,8,good
73,41,female,5954,42,good
74,40,male,1977,36,bad
75,66,male,1526,12,good
76,34,male,3965,42,bad
77,51,male,4771,11,good
78,39,male,9436,54,good
79,22,male,3832,30,good
