,   1   6   4  12   5   5   3   4   1  67   3   2   1   2   1   0   0   1   0   0   1   0   0   1   1 
0,   2  48   2  60   1   3   2   2   1  22   3   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
1,   4  12   4  21   1   4   3   3   1  49   3   1   2   1   1   0   0   1   0   0   1   0   1   0   1 
2,   1  42   2  79   1   4   3   4   2  45   3   1   2   1   1   0   0   0   0   0   0   0   0   1   1 
3,   1  24   3  49   1   3   3   4   4  53   3   2   2   1   1   1   0   1   0   0   0   0   0   1   2 
4,   4  36   2  91   5   3   3   4   4  35   3   1   2   2   1   0   0   1   0   0   0   0   1   0   1 
5,   4  24   2  28   3   5   3   4   2  53   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
6,   2  36   2  69   1   3   3   2   3  35   3   1   1   2   1   0   1   1   0   1   0   0   0   0   1 
7,   4  12   2  31   4   4   1   4   1  61   3   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
8,   2  30   4  52   1   1   4   2   3  28   3   2   1   1   1   1   0   1   0   0   1   0   0   0   2 
9,   2  12   2  13   1   2   2   1   3  25   3   1   1   1   1   1   0   1   0   1   0   0   0   1   2 
10,   1  48   2  43   1   2   2   4   2  24   3   1   1   1   1   0   0   1   0   1   0   0   0   1   2 
11,   2  12   2  16   1   3   2   1   3  22   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
12,   1  24   4  12   1   5   3   4   3  60   3   2   1   1   1   1   0   1   0   0   1   0   1   0   2 
13,   1  15   2  14   1   3   2   4   3  28   3   1   1   1   1   1   0   1   0   1   0   0   0   1   1 
14,   1  24   2  13   2   3   2   2   3  32   3   1   1   1   1   0   0   1   0   0   1   0   1   0   2 
15,   4  24   4  24   5   5   3   4   2  53   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
16,   1  30   0  81   5   2   3   3   3  25   1   3   1   1   1   0   0   1   0   0   1   0   0   1   1 
17,   2  24   2 126   1   5   2   2   4  44   3   1   1   2   1   0   1   1   0   0   0   0   0   0   2 
18,   4  24   2  34   3   5   3   2   3  31   3   1   2   2   1   0   0   1   0   0   1   0   0   1   1 
19,   4   9   4  21   1   3   3   4   3  48   3   3   1   2   1   1   0   1   0   0   1   0   0   1   1 
20,   1   6   2  26   3   3   3   3   1  44   3   1   2   1   1   0   0   1   0   1   0   0   0   1   1 
21,   1  10   4  22   1   2   3   3   1  48   3   2   2   1   2   1   0   1   0   1   0   0   1   0   1 
22,   2  12   4  18   2   2   3   4   2  44   3   1   1   1   1   0   1   1   0   0   1   0   0   1   1 
23,   4  10   4  21   5   3   4   1   3  26   3   2   1   1   2   0   0   1   0   0   1   0   0   1   1 
24,   1   6   2  14   1   3   3   2   1  36   1   1   1   2   1   0   0   1   0   0   1   0   1   0   1 
25,   4   6   0   4   1   5   4   4   3  39   3   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
26,   3  12   1   4   4   3   2   3   1  42   3   2   1   1   1   0   0   1   0   1   0   0   0   1   1 
27,   2   7   2  24   1   3   3   2   1  34   3   1   1   1   1   0   0   0   0   0   1   0   0   1   1 
28,   1  60   3  68   1   5   3   4   4  63   3   2   1   2   1   0   0   1   0   0   1   0   0   1   2 
29,   2  18   2  19   4   2   4   3   1  36   1   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
30,   1  24   2  40   1   3   3   2   3  27   2   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
31,   2  18   2  59   2   3   3   2   3  30   3   2   1   2   1   1   0   1   0   0   1   0   0   1   1 
32,   4  12   4  13   5   5   3   4   4  57   3   1   1   1   1   0   0   1   0   1   0   0   1   0   1 
33,   3  12   2  15   1   2   2   1   2  33   1   1   1   2   1   0   0   1   0   0   1   0   0   0   1 
34,   2  45   4  47   1   2   3   2   2  25   3   2   1   1   1   0   0   1   0   0   1   0   1   0   2 
35,   4  48   4  61   1   3   3   3   4  31   1   1   1   2   1   0   0   1   0   0   0   0   0   1   1 
36,   3  18   2  21   1   3   3   2   1  37   2   1   1   1   1   0   0   0   1   0   1   0   0   1   2 
37,   3  10   2  12   1   3   3   2   3  37   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
38,   2   9   2   5   1   3   3   3   1  24   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
39,   4  30   2  23   3   5   3   2   3  30   1   1   1   1   1   0   0   1   0   0   1   0   0   0   1 
40,   2  12   2  12   3   3   1   1   3  26   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
41,   2  18   3  62   1   3   3   4   1  44   3   1   2   2   1   0   0   1   0   0   1   0   1   0   1 
42,   1  30   4  62   2   4   4   4   3  24   3   2   1   1   1   0   1   1   0   1   0   0   0   1   1 
43,   1  48   4  61   1   5   2   4   4  58   2   2   1   1   1   0   1   1   0   0   0   0   1   0   2 
44,   4  11   4  14   1   2   2   4   3  35   3   2   1   1   1   1   0   1   0   0   1   0   0   0   1 
45,   4  36   2  23   3   5   3   4   3  39   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
46,   1   6   2  14   3   1   2   2   2  23   3   1   1   2   1   0   1   1   0   1   0   1   0   0   1 
47,   4  11   4  72   1   3   3   4   2  39   3   2   1   1   1   1   0   1   0   0   1   0   1   0   1 
48,   4  12   2  21   2   3   2   2   1  28   3   1   1   1   1   0   0   0   1   0   1   0   0   1   1 
49,   2  24   3  23   5   2   3   2   2  29   1   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
50,   2  27   3  60   1   5   3   2   3  30   3   2   1   2   1   0   1   1   0   0   1   0   0   0   1 
51,   4  12   2  13   1   3   3   2   3  25   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
52,   4  18   2  34   5   3   3   1   2  31   3   1   1   2   1   0   1   1   0   0   1   0   0   1   1 
53,   2  36   3  22   1   5   3   4   4  57   1   2   1   2   1   1   0   1   0   0   0   0   0   1   2 
54,   4   6   1   8   5   3   3   2   1  26   2   1   2   1   1   1   0   0   0   0   1   0   1   0   1 
55,   2  12   2  65   5   1   3   1   4  52   3   1   1   2   1   0   0   1   0   0   1   0   0   0   2 
56,   4  36   4  96   1   3   2   2   3  31   2   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
57,   3  18   2  20   1   5   2   2   3  23   3   1   1   1   1   1   0   1   0   0   1   0   0   0   1 
58,   1  36   4  62   1   2   2   4   4  23   3   2   1   2   1   0   0   0   1   1   0   0   1   0   2 
59,   2   9   2  14   1   3   4   1   1  27   1   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
60,   2  15   4  15   5   5   3   4   1  50   3   2   1   2   1   0   0   0   0   0   1   0   0   1   1 
61,   2  36   0  20   1   5   3   4   4  61   3   1   1   2   1   0   0   1   0   0   0   0   0   0   2 
62,   2  48   0 144   1   3   3   2   3  25   3   1   1   2   1   0   0   1   0   0   1   0   0   1   2 
63,   4  24   2  32   1   2   2   4   2  26   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
64,   4  27   2  52   5   5   3   4   2  48   3   4   2   2   1   0   0   1   0   0   1   0   0   1   1 
65,   4  12   2  22   1   2   2   2   3  29   1   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
66,   2  12   2  10   4   3   4   1   1  22   3   1   1   1   1   1   0   1   0   0   1   0   0   1   1 
67,   4  36   2  18   1   3   3   4   4  37   2   1   1   2   1   0   0   1   0   0   0   0   0   1   2 
68,   4  36   2  24   5   3   2   4   3  25   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
69,   4  36   2  81   1   3   2   2   2  30   1   1   1   1   1   0   1   1   0   0   1   0   0   1   1 
70,   4   7   4   7   5   5   3   2   2  46   3   2   1   2   1   0   0   1   0   1   0   0   1   0   1 
71,   1   8   4  12   1   5   3   4   4  51   1   2   2   2   1   0   0   1   0   0   0   0   0   0   1 
72,   2  42   4  60   1   4   2   1   1  41   1   2   1   1   1   0   0   1   0   0   1   0   1   0   1 
73,   1  36   2  20   5   5   3   4   4  40   3   1   1   2   1   0   0   1   0   0   1   0   0   0   2 
74,   1  12   4  15   1   5   3   4   4  66   3   2   1   1   1   0   1   1   0   0   0   0   0   0   1 
75,   1  42   2  40   1   2   3   3   3  34   3   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
76,   2  11   3  48   1   4   3   4   2  51   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
77,   4  54   0  94   5   3   3   2   2  39   3   1   2   1   1   0   1   1   0   0   1   0   1   0   1 
78,   2  30   2  38   1   2   4   1   2  22   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
79,   4  24   2  59   5   2   2   1   3  44   3   2   1   2   1   0   0   1   0   0   1   0   0   1   2 
80,   4  15   2  12   3   5   3   3   2  47   2   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
81,   4  18   2  16   2   3   2   4   2  24   3   1   1   1   1   0   0   1   0   1   0   0   1   0   1 
82,   1  24   2  18   1   5   2   4   1  58   3   1   1   2   1   0   0   0   0   0   1   0   1   0   1 
83,   1  10   2  23   1   5   3   4   1  52   3   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
84,   4  12   4  14   1   3   2   2   1  29   3   2   1   2   1   0   0   0   0   0   1   0   0   0   1 
85,   2  18   4  13   1   2   2   1   2  27   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
86,   2  36   2 126   2   3   3   4   4  47   3   1   2   2   1   0   0   1   0   0   0   0   0   1   2 
87,   1  18   2  22   2   4   3   3   3  30   3   1   2   2   1   1   0   1   0   0   1   0   0   0   1 
88,   1  12   0  11   1   4   3   3   1  28   3   2   1   1   1   0   0   1   0   0   1   0   0   1   2 
89,   4  12   4   6   1   5   3   4   1  56   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
90,   1  12   4  14   1   5   3   3   1  54   3   1   1   1   1   0   1   1   0   0   1   0   0   1   1 
91,   4  12   4   8   5   5   2   3   2  33   1   1   2   1   1   0   0   1   0   0   1   0   1   0   2 
92,   3  24   4  36   5   5   3   4   4  20   3   2   1   1   1   0   0   0   1   1   0   0   0   1   1 
93,   2  12   2  13   4   5   3   4   1  54   3   1   1   2   1   1   0   1   0   0   1   0   0   1   1 
94,   2  54   0 159   1   2   3   4   4  58   3   1   1   2   1   0   0   1   0   1   0   0   0   1   2 
95,   4  12   4  20   5   4   2   2   3  61   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
96,   2  18   2  26   2   3   3   4   3  34   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
97,   2  36   4  23   1   5   3   4   1  36   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
98,   2  20   3  71   5   4   3   4   2  36   1   2   2   2   1   0   1   1   0   1   0   0   0   0   1 
99,   4  24   2  15   2   5   4   4   1  41   3   1   1   1   1   1   0   1   0   1   0   0   1   0   1 
100,   2  36   2  23   1   4   3   4   3  24   3   1   1   1   1   0   0   1   0   1   0   0   0   1   1 
101,   4   6   3   9   1   3   2   2   1  24   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
102,   2   9   4  19   1   4   3   3   3  35   3   1   1   2   1   0   0   1   0   1   0   0   0   1   1 
103,   4  12   2  24   5   2   4   4   3  26   3   1   1   2   1   0   1   1   0   1   0   0   0   1   1 
104,   2  24   4 119   1   3   3   3   3  39   3   2   2   2   1   0   0   0   1   0   1   0   0   0   2 
105,   4  18   1  65   1   5   3   4   4  39   1   2   2   2   1   1   0   1   0   0   1   0   0   0   2 
106,   2  12   2  61   1   4   3   2   3  32   3   1   1   1   1   1   0   1   0   0   1   0   0   1   1 
107,   1  24   2  77   5   2   2   2   2  30   3   1   1   2   2   0   0   1   0   0   1   0   0   1   1 
108,   2  14   2  14   3   5   4   2   1  35   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
109,   2   6   3  14   2   5   1   2   3  31   1   2   2   1   1   0   0   1   0   0   1   0   0   1   1 
110,   3  15   2   4   1   2   2   4   2  23   3   1   1   2   1   0   0   1   0   1   0   0   0   1   1 
111,   2  18   2  63   1   4   3   3   1  28   3   1   1   1   1   1   0   1   0   1   0   0   1   0   1 
112,   4  36   4  79   1   3   2   2   1  25   2   2   1   2   1   1   0   1   0   0   1   0   0   1   2 
113,   1  12   2  17   3   5   4   1   1  35   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
114,   4  48   4  36   5   5   3   1   1  47   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
115,   1  42   2  72   5   4   2   3   3  30   3   1   1   2   1   0   0   1   0   0   1   0   0   0   2 
116,   1  10   4  21   5   2   2   3   1  27   3   2   1   1   2   0   0   0   1   1   0   0   0   1   1 
117,   1  33   4  43   3   3   2   4   3  23   3   2   1   1   1   0   0   1   0   0   1   0   0   1   2 
118,   2  12   4  24   3   4   1   3   3  36   3   1   1   2   1   1   0   1   0   0   1   0   0   0   1 
119,   1  21   2  18   1   3   2   2   1  25   3   2   1   2   1   0   0   1   0   0   1   0   0   1   2 
120,   4  24   4  39   1   5   2   2   3  41   3   2   1   2   1   0   1   1   0   1   0   0   0   0   1 
121,   4  12   2  18   1   3   3   2   1  24   3   1   1   1   1   0   0   1   0   1   0   0   1   0   1 
122,   3  10   4   8   1   5   3   4   4  63   3   2   1   2   1   1   0   1   0   0   0   0   0   1   1 
123,   2  18   2  19   5   2   2   3   1  27   3   1   1   1   1   0   0   1   0   1   0   0   0   1   2 
124,   1  12   4  21   1   3   3   2   2  30   3   2   1   1   1   1   0   1   0   0   1   0   0   1   1 
125,   1  12   2   7   1   3   4   2   1  40   3   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
126,   2  12   2   6   1   3   3   2   3  30   3   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
127,   2  12   4  19   1   1   3   2   3  34   3   2   1   2   1   0   1   1   0   0   1   0   0   0   1 
128,   1  12   4  35   1   3   2   2   1  29   3   2   1   1   1   1   0   0   1   0   1   0   0   1   2 
129,   2  48   2  85   5   4   2   2   3  24   3   1   1   1   1   1   0   1   0   0   1   0   0   1   1 
130,   1  36   3  69   1   3   3   3   2  29   2   1   1   2   1   0   0   1   0   0   1   0   0   1   2 
131,   4  15   2  27   1   2   3   3   2  27   1   2   1   1   1   0   0   1   0   0   1   0   1   0   1 
132,   4  18   2  20   1   3   3   4   4  47   1   2   1   1   1   0   0   1   0   0   0   0   0   1   1 
133,   4  60   2 101   2   4   2   4   1  21   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
134,   4  12   4  12   5   5   2   2   1  38   3   2   1   2   1   0   0   1   0   0   1   0   0   1   1 
135,   4  27   3  86   4   3   3   2   3  27   3   2   1   1   1   0   1   1   0   0   1   0   0   1   1 
136,   2  12   2   8   3   3   3   3   1  66   3   1   1   1   1   0   0   1   0   0   1   0   1   0   2 
137,   2  15   4  27   5   4   3   2   1  35   1   3   1   2   1   0   0   0   0   0   1   0   0   1   1 
138,   3  12   2  19   1   3   2   2   3  44   3   1   1   2   1   0   0   1   0   1   0   0   1   0   1 
139,   3   6   2   7   4   2   4   2   1  27   3   1   1   1   2   1   0   1   0   0   1   1   0   0   1 
140,   2  36   2  48   1   2   2   1   4  30   3   1   1   2   1   0   0   1   0   0   1   0   0   0   1 
141,   1  27   2  34   1   3   3   2   3  27   3   1   1   1   1   0   0   1   0   0   1   0   0   0   1 
142,   1  18   2  25   1   3   3   2   3  22   3   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
