Index,Sex,Age,Credit amount,Duration,Default
0,male,67,1169,6,good
1,female,22,5951,48,bad
2,male,49,2096,12,good
3,male,45,7882,42,good
4,male,53,4870,24,bad
5,male,35,9055,36,good
6,male,53,2835,24,good
7,male,35,6948,36,good
8,male,61,3059,12,good
9,male,28,5234,30,bad
10,female,25,1295,12,bad
11,female,24,4308,48,bad
12,female,22,1567,12,good
13,male,60,1199,24,bad
14,female,28,1403,15,good
15,female,32,1282,24,bad
16,male,53,2424,24,good
17,male,25,8072,30,good
18,female,44,12579,24,bad
19,male,31,3430,24,good
20,male,48,2134,9,good
21,male,44,2647,6,good
22,male,48,2241,10,good
23,male,44,1804,12,good
24,male,26,2069,10,good
25,male,36,1374,6,good
26,male,39,426,6,good
27,female,42,409,12,good
28,male,34,2415,7,good
29,male,63,6836,60,bad
30,male,36,1913,18,good
31,male,27,4020,24,good
32,male,30,5866,18,good
33,male,57,1264,12,good
34,female,33,1474,12,good
35,male,25,4746,45,bad
36,male,31,6110,48,good
37,male,37,2100,18,bad
38,male,37,1225,10,good
39,male,24,458,9,good
40,male,30,2333,30,good
41,male,26,1158,12,good
42,male,44,6204,18,good
43,male,24,6187,30,good
44,female,58,6143,48,bad
45,female,35,1393,11,good
46,male,39,2299,36,good
47,female,23,1352,6,good
48,male,39,7228,11,good
49,female,28,2073,12,good
50,male,29,2333,24,good
51,male,30,5965,27,good
52,male,25,1262,12,good
53,male,31,3378,18,good
54,male,57,2225,36,bad
55,male,26,783,6,good
56,male,52,6468,12,bad
57,female,31,9566,36,good
58,female,23,1961,18,good
59,female,23,6229,36,bad
60,male,27,1391,9,good
61,male,50,1537,15,good
62,male,61,1953,36,bad
63,male,25,14421,48,bad
64,female,26,3181,24,good
65,male,48,5190,27,good
66,female,29,2171,12,good
67,male,22,1007,12,good
68,male,37,1819,36,bad
69,female,25,2394,36,good
70,female,30,8133,36,good
71,male,46,730,7,good
72,male,51,1164,8,good
73,female,41,5954,42,good
74,male,40,1977,36,bad
75,male,66,1526,12,good
76,male,34,3965,42,bad
77,male,51,4771,11,good
78,male,39,9436,54,good
79,male,22,3832,30,good
80,female,44,5943,24,bad
81,male,47,1213,15,good
82,female,24,1568,18,good
83,female,58,1755,24,good
84,male,52,2315,10,good
85,female,29,1412,12,good
86,female,27,1295,18,good
87,male,47,12612,36,bad
88,male,30,2249,18,good
89,male,28,1108,12,bad
90,male,56,618,12,good
91,male,54,1409,12,good
92,female,33,797,12,bad
93,male,20,3617,24,good
94,male,54,1318,12,good
95,male,58,15945,54,bad
96,female,61,2012,12,good
97,male,34,2622,18,good
98,male,36,2337,36,good
99,male,36,7057,20,good
100,male,41,1469,24,good
101,male,24,2323,36,good
102,female,24,932,6,good
103,male,35,1919,9,good
104,male,26,2445,12,good
