Index,Sex,Age,Credit amount,Duration,Default
0,male,67.00001,1169.0,6.0,good
1,male,22.000002,7392.0,42.0,bad
2,male,49.000004,2096.0,12.0,good
3,male,45.000004,7882.0,42.0,good
4,male,52.999996,4870.0,24.0,bad
5,male,35.000004,9055.0,36.0,good
6,male,52.999996,2835.0,24.0,good
7,male,35.000004,6948.0,36.0,good
8,male,60.999992,3059.0,12.0,good
9,male,28.000002,5234.0,30.0,bad
10,male,25.000002,1475.0,11.0,bad
11,male,24.0,5313.0,42.0,bad
12,male,22.000002,1767.0,11.0,good
13,male,60.000004,1199.0,24.0,bad
14,male,28.000002,1644.0,14.0,good
15,male,32.0,1538.0,22.0,bad
16,male,52.999996,2424.0,24.0,good
17,male,25.000002,8072.0,30.0,good
18,male,44.000004,19535.0,18.0,bad
19,male,30.999998,3430.0,24.0,good
20,male,48.0,2134.0,9.0,good
21,male,44.000004,2647.0,6.0,good
22,male,48.0,2241.0,10.0,good
23,male,44.000004,1804.0,12.0,good
24,male,25.999998,2069.0,10.0,good
25,male,36.0,1374.0,6.0,good
26,male,38.999996,426.0,6.0,good
27,male,42.000004,488.0,12.0,good
28,male,34.0,2415.0,7.0,good
29,male,62.999992,6836.0,60.0,bad
30,male,36.0,1913.0,18.0,good
31,male,27.000002,4020.0,24.0,good
32,male,30.000002,5866.0,18.0,good
33,male,57.0,1264.0,12.0,good
34,male,33.000004,1801.0,11.0,good
35,male,25.000002,4746.0,45.0,bad
36,male,30.999998,6110.0,48.0,good
37,male,37.000004,2100.0,18.0,bad
38,male,37.000004,1225.0,10.0,good
39,male,24.0,458.0,9.0,good
40,male,30.000002,2333.0,30.0,good
41,male,25.999998,1158.0,12.0,good
42,male,44.000004,6204.0,18.0,good
43,male,24.0,6187.0,30.0,good
44,male,57.999996,10320.0,35.0,bad
45,male,35.000004,1718.0,10.0,good
46,male,38.999996,2299.0,36.0,good
47,male,23.000002,1521.0,6.0,good
48,male,38.999996,7228.0,11.0,good
49,male,28.000002,2499.0,11.0,good
50,male,28.999998,2333.0,24.0,good
51,male,30.000002,5965.0,27.0,good
52,male,25.000002,1262.0,12.0,good
53,male,30.999998,3378.0,18.0,good
54,male,57.0,2225.0,36.0,bad
55,male,25.999998,783.0,6.0,good
56,male,51.999996,6468.0,12.0,bad
57,male,30.999998,13242.0,29.0,good
58,male,23.000002,2267.0,17.0,good
59,male,23.000002,7833.0,31.0,bad
60,male,27.000002,1391.0,9.0,good
61,male,50.000004,1537.0,15.0,good
