Index,Sex,Age,Credit amount,Duration,Default
0,female,67.00001,1118.0,6.0,good
1,female,22.000002,5951.0,48.0,bad
2,female,49.000004,2029.0,12.0,good
3,female,45.000004,7835.0,42.0,good
4,female,52.999996,4788.0,24.0,bad
5,female,35.000004,9052.0,36.0,good
6,female,52.999996,2761.0,24.0,good
7,female,35.000004,6914.0,36.0,good
8,female,60.999992,2982.0,12.0,good
9,female,28.000002,5195.0,30.0,bad
10,female,25.000002,1295.0,12.0,bad
11,female,24.0,4308.0,48.0,bad
12,female,22.000002,1567.0,12.0,good
13,female,60.000004,1149.0,24.0,bad
14,female,28.000002,1403.0,15.0,good
15,female,32.0,1282.0,24.0,bad
16,female,52.999996,2354.0,24.0,good
17,female,25.000002,8079.0,30.0,good
18,female,44.000004,12579.0,24.0,bad
19,female,30.999998,3375.0,24.0,good
20,female,48.0,2067.0,9.0,good
21,female,44.000004,2581.0,6.0,good
22,female,48.0,2173.0,10.0,good
23,female,44.000004,1747.0,12.0,good
24,female,25.999998,2022.0,10.0,good
25,female,36.0,1329.0,6.0,good
26,female,38.999996,402.0,6.0,good
27,female,42.000004,409.0,12.0,good
28,female,34.0,2358.0,7.0,good
29,female,62.999992,6739.0,60.0,bad
30,female,36.0,1861.0,18.0,good
31,female,27.000002,3972.0,24.0,good
32,female,30.000002,5829.0,18.0,good
33,female,57.0,1213.0,12.0,good
34,female,33.000004,1474.0,12.0,good
35,female,25.000002,4707.0,45.0,bad
36,female,30.999998,6075.0,48.0,good
37,female,37.000004,2043.0,18.0,bad
38,female,37.000004,1180.0,10.0,good
39,female,24.0,435.0,9.0,good
40,female,30.000002,2282.0,30.0,good
41,female,25.999998,1120.0,12.0,good
42,female,44.000004,6145.0,18.0,good
43,female,24.0,6168.0,30.0,good
44,female,57.999996,6143.0,48.0,bad
45,female,35.000004,1393.0,11.0,good
46,female,38.999996,2239.0,36.0,good
47,female,23.000002,1352.0,6.0,good
48,female,38.999996,7191.0,11.0,good
49,female,28.000002,2073.0,12.0,good
50,female,28.999998,2280.0,24.0,good
51,female,30.000002,5929.0,27.0,good
52,female,25.000002,1223.0,12.0,good
53,female,30.999998,3323.0,18.0,good
54,female,57.0,2157.0,36.0,bad
55,female,25.999998,752.0,6.0,good
56,female,51.999996,6395.0,12.0,bad
57,female,30.999998,9566.0,36.0,good
58,female,23.000002,1961.0,18.0,good
59,female,23.000002,6229.0,36.0,bad
60,female,27.000002,1349.0,9.0,good
61,female,50.000004,1483.0,15.0,good
62,female,60.999992,1890.0,36.0,bad
63,female,25.000002,14579.0,48.0,bad
64,female,25.999998,3181.0,24.0,good
65,female,48.0,5115.0,27.0,good
66,female,28.999998,2171.0,12.0,good
67,female,22.000002,972.0,12.0,good
68,female,37.000004,1765.0,36.0,bad
69,female,25.000002,2394.0,36.0,good
70,female,30.000002,8133.0,36.0,good
71,female,46.000004,696.0,7.0,good
72,female,51.0,1117.0,8.0,good
73,female,41.0,5954.0,42.0,good
74,female,40.000004,1923.0,36.0,bad
75,female,66.00001,1466.0,12.0,good
76,female,34.0,3907.0,42.0,bad
77,female,51.0,4693.0,11.0,good
