Index,Sex,Age,Credit amount,Duration,Default
0,female,67.0,1144.0,6.0,good
1,female,22.0,5932.0,47.0,bad
2,female,49.0,2077.0,12.0,good
3,female,45.0,15936.0,61.0,good
4,female,53.0,8781.0,35.0,bad
5,female,35.0,11137.0,41.0,good
6,female,53.0,2957.0,25.0,good
7,female,35.0,6874.0,34.0,good
8,female,61.0,2661.0,11.0,good
9,female,28.0,6818.0,35.0,bad
10,female,25.0,1295.0,12.0,bad
11,female,24.0,4320.0,49.0,bad
12,female,22.0,1567.0,12.0,good
13,female,60.0,1174.0,24.0,bad
14,female,28.0,1403.0,15.0,good
15,female,32.0,1282.0,24.0,bad
16,female,53.0,2321.0,24.0,good
17,female,25.0,17725.0,52.0,good
18,female,44.0,21283.0,37.0,bad
19,female,31.0,3555.0,24.0,good
20,female,48.0,2089.0,9.0,good
21,female,44.0,2647.0,6.0,good
22,female,48.0,2189.0,10.0,good
23,female,44.0,1768.0,12.0,good
24,female,26.0,1819.0,10.0,good
25,female,36.0,1340.0,6.0,good
26,female,39.0,239.0,5.0,good
27,female,42.0,414.0,12.0,good
28,female,34.0,2388.0,7.0,good
29,female,63.0,19714.0,82.0,bad
30,female,36.0,1675.0,17.0,good
31,female,27.0,4347.0,25.0,good
32,female,30.0,7472.0,21.0,good
33,female,57.0,1234.0,12.0,good
34,female,33.0,1474.0,12.0,good
35,female,25.0,5624.0,49.0,bad
36,female,31.0,7982.0,56.0,good
37,female,37.0,2060.0,18.0,bad
38,female,37.0,1172.0,10.0,good
39,female,24.0,374.0,8.0,good
40,female,30.0,2301.0,30.0,good
41,female,26.0,1117.0,12.0,good
42,female,44.0,6075.0,17.0,good
43,female,24.0,8803.0,37.0,good
44,female,58.0,3148.0,35.0,bad
45,female,35.0,1393.0,11.0,good
46,female,39.0,2257.0,36.0,good
47,female,23.0,1352.0,6.0,good
48,female,39.0,6814.0,11.0,good
49,female,28.0,2073.0,12.0,good
50,female,29.0,2301.0,24.0,good
51,female,30.0,7472.0,31.0,good
52,female,25.0,1230.0,12.0,good
53,female,31.0,3555.0,18.0,good
54,female,57.0,2294.0,36.0,bad
55,female,26.0,705.0,6.0,good
56,female,52.0,18790.0,30.0,bad
57,female,31.0,10565.0,39.0,good
58,female,23.0,1961.0,18.0,good
