Index,Sex,Age,Credit amount,Duration,Default
0,male,67.0,1169.0,6.0,good
1,male,22.0,5183.0,45.0,bad
2,male,49.0,2124.0,12.0,good
3,male,45.0,14269.0,59.0,good
4,male,53.0,10493.0,40.0,bad
5,male,35.0,8869.0,35.0,good
6,male,53.0,3087.0,25.0,good
7,male,35.0,6135.0,32.0,good
8,male,61.0,2718.0,11.0,good
9,male,28.0,5215.0,30.0,bad
10,male,25.0,1341.0,12.0,bad
11,male,24.0,4041.0,47.0,bad
12,male,22.0,1588.0,12.0,good
13,male,60.0,1198.0,24.0,bad
14,male,28.0,1443.0,15.0,good
15,male,32.0,1319.0,24.0,bad
16,male,53.0,2392.0,24.0,good
17,male,25.0,8032.0,30.0,good
18,male,44.0,19243.0,34.0,bad
19,male,31.0,3405.0,24.0,good
20,male,48.0,2127.0,9.0,good
21,male,44.0,2654.0,6.0,good
22,male,48.0,2226.0,10.0,good
23,male,44.0,1804.0,12.0,good
24,male,26.0,2069.0,10.0,good
25,male,36.0,1374.0,6.0,good
26,male,39.0,423.0,6.0,good
27,male,42.0,644.0,15.0,good
28,male,34.0,2419.0,7.0,good
29,male,63.0,19726.0,82.0,bad
30,male,36.0,1913.0,18.0,good
31,male,27.0,4003.0,24.0,good
32,male,30.0,5660.0,17.0,good
33,male,57.0,1263.0,12.0,good
34,male,33.0,1512.0,12.0,good
35,male,25.0,4752.0,45.0,bad
36,male,31.0,5839.0,48.0,good
37,male,37.0,2101.0,18.0,bad
38,male,37.0,1225.0,10.0,good
39,male,24.0,458.0,9.0,good
40,male,30.0,2333.0,30.0,good
41,male,26.0,1158.0,12.0,good
42,male,44.0,5377.0,16.0,good
43,male,24.0,6174.0,29.0,good
44,male,58.0,3108.0,35.0,bad
45,male,35.0,1425.0,11.0,good
46,male,39.0,2302.0,36.0,good
47,male,23.0,1387.0,6.0,good
48,male,39.0,6371.0,10.0,good
49,male,28.0,2254.0,12.0,good
50,male,29.0,2333.0,24.0,good
51,male,30.0,5660.0,26.0,good
52,male,25.0,1262.0,12.0,good
53,male,31.0,3405.0,18.0,good
54,male,57.0,2322.0,37.0,bad
55,male,26.0,783.0,6.0,good
56,male,52.0,17624.0,28.0,bad
57,male,31.0,6790.0,28.0,good
58,male,23.0,2333.0,19.0,good
59,male,23.0,5176.0,32.0,bad
60,male,27.0,1391.0,9.0,good
61,male,50.0,1537.0,15.0,good
62,male,61.0,2043.0,36.0,bad
63,male,25.0,13633.0,47.0,bad
64,male,26.0,3144.0,23.0,good
65,male,48.0,5748.0,29.0,good
66,male,29.0,2213.0,12.0,good
67,male,22.0,1007.0,12.0,good
68,male,37.0,1819.0,36.0,bad
69,male,25.0,2463.0,36.0,good
