Index,Sex,Age,Credit amount,Duration,Default
0,female,67.0,1088.0,6.0,good
1,female,22.0,5951.0,48.0,bad
2,female,49.0,1949.0,12.0,good
3,female,45.0,7956.0,42.0,good
4,female,53.0,4639.0,24.0,bad
5,female,35.0,9273.0,36.0,good
6,female,53.0,2603.0,24.0,good
7,female,35.0,7017.0,36.0,good
8,female,61.0,2805.0,12.0,good
9,female,28.0,5241.0,30.0,bad
10,female,25.0,1295.0,12.0,bad
11,female,24.0,4308.0,48.0,bad
12,female,22.0,1567.0,12.0,good
13,female,60.0,1122.0,24.0,bad
14,female,28.0,1403.0,15.0,good
15,female,32.0,1282.0,24.0,bad
16,female,53.0,2220.0,24.0,good
17,female,25.0,8324.0,30.0,good
18,female,44.0,12579.0,24.0,bad
19,female,31.0,3299.0,24.0,good
20,female,48.0,1985.0,9.0,good
21,female,44.0,2461.0,6.0,good
22,female,48.0,2076.0,10.0,good
23,female,44.0,1688.0,12.0,good
24,female,26.0,1978.0,10.0,good
25,female,36.0,1313.0,6.0,good
26,female,39.0,451.0,6.0,good
27,female,42.0,409.0,12.0,good
28,female,34.0,2279.0,7.0,good
29,female,63.0,6700.0,60.0,bad
30,female,36.0,1802.0,18.0,good
31,female,27.0,3947.0,24.0,good
32,female,30.0,5902.0,18.0,good
33,female,57.0,1181.0,12.0,good
34,female,33.0,1474.0,12.0,good
35,female,25.0,4748.0,45.0,bad
36,female,31.0,6156.0,48.0,good
37,female,37.0,1974.0,18.0,bad
38,female,37.0,1179.0,10.0,good
39,female,24.0,491.0,9.0,good
40,female,30.0,2214.0,30.0,good
41,female,26.0,1152.0,12.0,good
42,female,44.0,6131.0,18.0,good
43,female,24.0,6334.0,30.0,good
44,female,58.0,6143.0,48.0,bad
45,female,35.0,1393.0,11.0,good
46,female,39.0,2155.0,37.0,good
47,female,23.0,1352.0,6.0,good
48,female,39.0,7279.0,11.0,good
49,female,28.0,2073.0,12.0,good
50,female,29.0,2218.0,24.0,good
51,female,30.0,6010.0,27.0,good
52,female,25.0,1246.0,12.0,good
53,female,31.0,3246.0,18.0,good
54,female,57.0,2023.0,37.0,bad
55,female,26.0,795.0,6.0,good
56,female,52.0,6318.0,12.0,bad
57,female,31.0,9566.0,36.0,good
58,female,23.0,1961.0,18.0,good
59,female,23.0,6229.0,36.0,bad
60,female,27.0,1353.0,9.0,good
61,female,50.0,1434.0,15.0,good
62,female,61.0,1783.0,37.0,bad
63,female,25.0,17199.0,45.0,bad
64,female,26.0,3181.0,24.0,good
65,female,48.0,5018.0,27.0,good
66,female,29.0,2171.0,12.0,good
67,female,22.0,1042.0,12.0,good
68,female,37.0,1714.0,36.0,bad
69,female,25.0,2394.0,36.0,good
70,female,30.0,8133.0,36.0,good
71,female,46.0,741.0,7.0,good
72,female,51.0,1100.0,8.0,good
73,female,41.0,5954.0,42.0,good
74,female,40.0,1852.0,37.0,bad
75,female,66.0,1413.0,12.0,good
76,female,34.0,3828.0,43.0,bad
77,female,51.0,4540.0,11.0,good
78,female,39.0,9649.0,54.0,good
79,female,22.0,3797.0,30.0,good
80,female,44.0,5943.0,24.0,bad
81,female,47.0,1150.0,15.0,good
82,female,24.0,1568.0,18.0,good
83,female,58.0,1755.0,24.0,good
84,female,52.0,2119.0,10.0,good
85,female,29.0,1412.0,12.0,good
86,female,27.0,1295.0,18.0,good
87,female,47.0,17496.0,32.0,bad
88,female,30.0,2134.0,18.0,good
89,female,28.0,1103.0,12.0,bad
90,female,56.0,621.0,12.0,good
91,female,54.0,1314.0,12.0,good
92,female,33.0,797.0,12.0,bad
93,female,20.0,3587.0,24.0,good
94,female,54.0,1233.0,12.0,good
95,female,58.0,22831.0,47.0,bad
96,female,61.0,2012.0,12.0,good
97,female,34.0,2474.0,18.0,good
98,female,36.0,2197.0,37.0,good
99,female,36.0,7120.0,20.0,good
100,female,41.0,1388.0,24.0,good
101,female,24.0,2229.0,36.0,good
102,female,24.0,932.0,6.0,good
103,female,35.0,1810.0,9.0,good
104,female,26.0,2338.0,12.0,good
105,female,39.0,15289.0,23.0,bad
106,female,39.0,6439.0,18.0,bad
107,female,32.0,6118.0,12.0,good
108,female,30.0,7721.0,24.0,good
109,female,35.0,1347.0,14.0,good
110,female,31.0,1392.0,6.0,good
111,female,23.0,392.0,15.0,good
112,female,28.0,6360.0,18.0,good
113,female,25.0,7855.0,36.0,bad
114,female,35.0,1591.0,12.0,good
115,female,47.0,3362.0,49.0,good
116,female,30.0,7174.0,42.0,bad
117,female,27.0,2132.0,10.0,good
118,female,23.0,4281.0,33.0,bad
119,female,36.0,2225.0,12.0,good
120,female,25.0,1835.0,21.0,bad
121,female,41.0,3868.0,24.0,good
122,female,24.0,1704.0,12.0,good
123,female,63.0,752.0,10.0,good
124,female,27.0,1924.0,18.0,bad
125,female,30.0,2013.0,12.0,good
126,female,40.0,705.0,12.0,good
127,female,30.0,616.0,12.0,bad
128,female,34.0,1759.0,12.0,good
129,female,29.0,3499.0,12.0,bad
130,female,24.0,8487.0,48.0,good
131,female,29.0,7038.0,36.0,bad
132,female,27.0,2590.0,15.0,good
133,female,47.0,1851.0,18.0,good
134,female,21.0,10144.0,60.0,good
135,female,38.0,1240.0,12.0,good
136,female,27.0,8843.0,27.0,good
137,female,66.0,735.0,12.0,bad
138,female,35.0,2571.0,15.0,good
139,female,44.0,1881.0,12.0,good
140,female,27.0,702.0,6.0,good
141,female,30.0,4795.0,36.0,good
142,female,27.0,3313.0,27.0,good
143,female,22.0,2373.0,18.0,bad
144,female,23.0,2288.0,21.0,good
145,female,30.0,3446.0,49.0,good
146,female,39.0,860.0,6.0,good
147,female,51.0,682.0,12.0,good
148,female,28.0,5389.0,36.0,good
149,female,46.0,1482.0,18.0,good
150,female,42.0,1276.0,6.0,good
151,female,38.0,1807.0,10.0,good
152,female,24.0,5961.0,36.0,good
153,female,29.0,7758.0,24.0,good
154,female,36.0,7021.0,24.0,good
155,female,20.0,1282.0,12.0,bad
156,female,48.0,1215.0,9.0,good
157,female,45.0,345.0,12.0,good
158,female,38.0,3329.0,24.0,good
159,female,34.0,1794.0,6.0,good
160,female,36.0,2704.0,24.0,good
161,female,30.0,1055.0,18.0,good
162,female,36.0,1214.0,15.0,good
163,female,70.0,7236.0,10.0,good
164,female,36.0,924.0,36.0,good
165,female,32.0,2838.0,6.0,good
166,female,33.0,1131.0,18.0,bad
167,female,20.0,1577.0,11.0,good
168,female,25.0,3972.0,24.0,good
169,female,31.0,1836.0,24.0,bad
170,female,33.0,966.0,15.0,bad
171,female,26.0,763.0,12.0,good
172,female,34.0,2064.0,24.0,bad
173,female,33.0,1356.0,8.0,good
174,female,26.0,3322.0,21.0,bad
175,female,53.0,7485.0,30.0,bad
176,female,42.0,2403.0,12.0,good
177,female,52.0,345.0,6.0,good
178,female,31.0,1862.0,12.0,good
179,female,65.0,573.0,21.0,good
180,female,28.0,10045.0,35.0,bad
181,female,30.0,4381.0,36.0,bad
182,female,40.0,1550.0,21.0,bad
183,female,50.0,3521.0,24.0,good
184,female,36.0,902.0,18.0,bad
185,female,31.0,1313.0,15.0,good
186,female,74.0,5129.0,9.0,bad
187,female,68.0,1091.0,16.0,good
188,female,20.0,652.0,12.0,bad
189,female,33.0,3244.0,18.0,good
190,female,54.0,4345.0,24.0,bad
191,female,34.0,3702.0,49.0,bad
