Index,Sex,Age,Credit amount,Duration,Default
0,female,67.00001,1169.0,6.0,good
1,female,22.000002,5951.0,48.0,bad
2,female,49.000004,2096.0,12.0,good
3,female,45.000004,7882.0,42.0,good
4,female,52.999996,4870.0,24.0,bad
5,female,35.000004,9055.0,36.0,good
6,female,52.999996,2835.0,24.0,good
7,female,35.000004,6948.0,36.0,good
8,female,60.999992,3059.0,12.0,good
9,female,28.000002,5234.0,30.0,bad
10,female,25.000002,1295.0,12.0,bad
11,female,24.0,4308.0,48.0,bad
12,female,22.000002,1567.0,12.0,good
13,female,60.000004,1199.0,24.0,bad
14,female,28.000002,1403.0,15.0,good
15,female,32.0,1282.0,24.0,bad
16,female,52.999996,2424.0,24.0,good
17,female,25.000002,8072.0,30.0,good
18,female,44.000004,12579.0,24.0,bad
19,female,30.999998,3430.0,24.0,good
20,female,48.0,2134.0,9.0,good
21,female,44.000004,2647.0,6.0,good
22,female,48.0,2241.0,10.0,good
23,female,44.000004,1804.0,12.0,good
24,female,25.999998,2069.0,10.0,good
25,female,36.0,1374.0,6.0,good
26,female,38.999996,426.0,6.0,good
27,female,42.000004,409.0,12.0,good
28,female,34.0,2415.0,7.0,good
29,female,62.999992,6836.0,60.0,bad
30,female,36.0,1913.0,18.0,good
31,female,27.000002,4020.0,24.0,good
32,female,30.000002,5866.0,18.0,good
33,female,57.0,1264.0,12.0,good
34,female,33.000004,1474.0,12.0,good
35,female,25.000002,4746.0,45.0,bad
36,female,30.999998,6110.0,48.0,good
37,female,37.000004,2100.0,18.0,bad
38,female,37.000004,1225.0,10.0,good
39,female,24.0,458.0,9.0,good
40,female,30.000002,2333.0,30.0,good
41,female,25.999998,1158.0,12.0,good
42,female,44.000004,6204.0,18.0,good
43,female,24.0,6187.0,30.0,good
44,female,57.999996,6143.0,48.0,bad
45,female,35.000004,1393.0,11.0,good
46,female,38.999996,2299.0,36.0,good
47,female,23.000002,1352.0,6.0,good
48,female,38.999996,7228.0,11.0,good
49,female,28.000002,2073.0,12.0,good
50,female,28.999998,2333.0,24.0,good
51,female,30.000002,5965.0,27.0,good
52,female,25.000002,1262.0,12.0,good
53,female,30.999998,3378.0,18.0,good
54,female,57.0,2225.0,36.0,bad
55,female,25.999998,783.0,6.0,good
56,female,51.999996,6468.0,12.0,bad
57,female,30.999998,9566.0,36.0,good
58,female,23.000002,1961.0,18.0,good
59,female,23.000002,6229.0,36.0,bad
60,female,27.000002,1391.0,9.0,good
61,female,50.000004,1537.0,15.0,good
62,female,60.999992,1953.0,36.0,bad
63,female,25.000002,14421.0,48.0,bad
64,female,25.999998,3181.0,24.0,good
65,female,48.0,5190.0,27.0,good
66,female,28.999998,2171.0,12.0,good
67,female,22.000002,1007.0,12.0,good
68,female,37.000004,1819.0,36.0,bad
69,female,25.000002,2394.0,36.0,good
70,female,30.000002,8133.0,36.0,good
71,female,46.000004,730.0,7.0,good
72,female,51.0,1164.0,8.0,good
73,female,41.0,5954.0,42.0,good
74,female,40.000004,1977.0,36.0,bad
75,female,66.00001,1526.0,12.0,good
76,female,34.0,3965.0,42.0,bad
77,female,51.0,4771.0,11.0,good
78,female,38.999996,9436.0,54.0,good
79,female,22.000002,3832.0,30.0,good
80,female,44.000004,5943.0,24.0,bad
81,female,47.000004,1213.0,15.0,good
82,female,24.0,1568.0,18.0,good
83,female,57.999996,1755.0,24.0,good
84,female,51.999996,2315.0,10.0,good
85,female,28.999998,1412.0,12.0,good
86,female,27.000002,1295.0,18.0,good
87,female,47.000004,12612.0,36.0,bad
88,female,30.000002,2249.0,18.0,good
89,female,28.000002,1108.0,12.0,bad
90,female,55.999996,618.0,12.0,good
91,female,54.000004,1409.0,12.0,good
92,female,33.000004,797.0,12.0,bad
93,female,20.000002,3617.0,24.0,good
94,female,54.000004,1318.0,12.0,good
95,female,57.999996,15945.0,54.0,bad
96,female,60.999992,2012.0,12.0,good
97,female,34.0,2622.0,18.0,good
98,female,36.0,2337.0,36.0,good
99,female,36.0,7057.0,20.0,good
