Index,Sex,Age,Credit amount,Duration,Default
0,female,67.00001,1089.0,6.0,good
1,female,22.000002,5951.0,48.0,bad
2,female,49.000004,1900.0,12.0,good
3,female,45.000004,6902.0,42.0,good
4,female,52.999996,4361.0,23.0,bad
5,female,35.000004,8246.0,33.0,good
6,female,52.999996,2569.0,22.0,good
7,female,35.000004,6098.0,35.0,good
8,female,60.999992,2807.0,11.0,good
9,female,28.000002,4545.0,29.0,bad
10,female,25.000002,1295.0,12.0,bad
11,female,24.0,4308.0,48.0,bad
12,female,22.000002,1567.0,12.0,good
13,female,60.000004,1112.0,24.0,bad
14,female,28.000002,1403.0,15.0,good
15,female,32.0,1282.0,24.0,bad
16,female,52.999996,2203.0,24.0,good
17,female,25.000002,7421.0,26.0,good
18,female,44.000004,12579.0,24.0,bad
19,female,30.999998,2972.0,23.0,good
20,female,48.0,1931.0,9.0,good
21,female,44.000004,2368.0,6.0,good
22,female,48.0,2025.0,10.0,good
23,female,44.000004,1631.0,12.0,good
24,female,25.999998,1821.0,10.0,good
25,female,36.0,1244.0,6.0,good
26,female,38.999996,412.0,6.0,good
27,female,42.000004,409.0,12.0,good
28,female,34.0,2129.0,6.0,good
29,female,62.999992,6200.0,60.0,bad
30,female,36.0,1709.0,17.0,good
31,female,27.000002,3450.0,24.0,good
32,female,30.000002,5118.0,17.0,good
33,female,57.0,1168.0,12.0,good
34,female,33.000004,1474.0,12.0,good
35,female,25.000002,4128.0,44.0,bad
36,female,30.999998,5339.0,49.0,good
37,female,37.000004,1872.0,17.0,bad
38,female,37.000004,1116.0,10.0,good
39,female,24.0,447.0,9.0,good
40,female,30.000002,2053.0,29.0,good
41,female,25.999998,1052.0,12.0,good
42,female,44.000004,5403.0,16.0,good
43,female,24.0,5561.0,29.0,good
44,female,57.999996,6143.0,48.0,bad
45,female,35.000004,1393.0,11.0,good
46,female,38.999996,2046.0,34.0,good
47,female,23.000002,1352.0,6.0,good
48,female,38.999996,6315.0,9.0,good
49,female,28.000002,2073.0,12.0,good
50,female,28.999998,2049.0,23.0,good
51,female,30.000002,5214.0,26.0,good
52,female,25.000002,1142.0,11.0,good
53,female,30.999998,2929.0,18.0,good
54,female,57.0,2039.0,35.0,bad
55,female,25.999998,730.0,6.0,good
56,female,51.999996,5742.0,11.0,bad
57,female,30.999998,9566.0,36.0,good
58,female,23.000002,1961.0,18.0,good
59,female,23.000002,6229.0,36.0,bad
60,female,27.000002,1252.0,8.0,good
61,female,50.000004,1404.0,14.0,good
62,female,60.999992,1801.0,37.0,bad
63,female,25.000002,12833.0,50.0,bad
64,female,25.999998,3181.0,24.0,good
65,female,48.0,4590.0,25.0,good
66,female,28.999998,2171.0,12.0,good
67,female,22.000002,925.0,11.0,good
68,female,37.000004,1631.0,35.0,bad
69,female,25.000002,2394.0,36.0,good
70,female,30.000002,8133.0,36.0,good
71,female,46.000004,682.0,7.0,good
72,female,51.0,1072.0,8.0,good
73,female,41.0,5954.0,42.0,good
74,female,40.000004,1773.0,35.0,bad
75,female,66.00001,1417.0,11.0,good
76,female,34.0,3427.0,40.0,bad
77,female,51.0,4263.0,10.0,good
78,female,38.999996,8566.0,50.0,good
79,female,22.000002,3325.0,28.0,good
80,female,44.000004,5943.0,24.0,bad
81,female,47.000004,1112.0,14.0,good
82,female,24.0,1568.0,18.0,good
83,female,57.999996,1755.0,24.0,good
84,female,51.999996,2105.0,10.0,good
85,female,28.999998,1412.0,12.0,good
86,female,27.000002,1295.0,18.0,good
87,female,47.000004,11838.0,33.0,bad
88,female,30.000002,1982.0,17.0,good
89,female,28.000002,1011.0,11.0,bad
90,female,55.999996,583.0,12.0,good
91,female,54.000004,1296.0,11.0,good
92,female,33.000004,797.0,12.0,bad
93,female,20.000002,3157.0,23.0,good
94,female,54.000004,1214.0,12.0,good
95,female,57.999996,15408.0,51.0,bad
96,female,60.999992,2012.0,12.0,good
97,female,34.0,2304.0,16.0,good
98,female,36.0,2072.0,36.0,good
99,female,36.0,6191.0,17.0,good
100,female,41.0,1332.0,23.0,good
101,female,24.0,2034.0,34.0,good
102,female,24.0,932.0,6.0,good
103,female,35.000004,1713.0,9.0,good
104,female,25.999998,2134.0,12.0,good
105,female,38.999996,11212.0,25.0,bad
106,female,38.999996,5586.0,17.0,bad
107,female,32.0,5290.0,12.0,good
108,female,30.000002,7721.0,24.0,good
109,female,35.000004,1275.0,14.0,good
110,female,30.999998,1304.0,6.0,good
111,female,23.000002,392.0,15.0,good
112,female,28.000002,5541.0,16.0,good
113,female,25.000002,7855.0,36.0,bad
114,female,35.000004,1508.0,11.0,good
115,female,47.000004,3188.0,49.0,good
116,female,30.000002,7174.0,42.0,bad
117,female,27.000002,2132.0,10.0,good
118,female,23.000002,4281.0,33.0,bad
119,female,36.0,2096.0,12.0,good
120,female,25.000002,1835.0,21.0,bad
121,female,41.0,3868.0,24.0,good
122,female,24.0,1570.0,11.0,good
123,female,62.999992,731.0,10.0,good
124,female,27.000002,1924.0,18.0,bad
125,female,30.000002,1874.0,11.0,good
126,female,40.000004,656.0,12.0,good
127,female,30.000002,604.0,12.0,bad
128,female,34.0,1658.0,11.0,good
129,female,28.999998,3499.0,12.0,bad
130,female,24.0,8487.0,48.0,good
131,female,28.999998,6144.0,31.0,bad
132,female,27.000002,2359.0,13.0,good
133,female,47.000004,1794.0,18.0,good
134,female,21.000002,10144.0,60.0,good
135,female,38.0,1240.0,12.0,good
136,female,27.000002,7932.0,24.0,good
137,female,66.00001,719.0,12.0,bad
138,female,35.000004,2402.0,15.0,good
139,female,44.000004,1881.0,12.0,good
140,female,27.000002,666.0,6.0,good
141,female,30.000002,4795.0,36.0,good
142,female,27.000002,2945.0,26.0,good
143,female,22.000002,2149.0,16.0,bad
144,female,23.000002,2288.0,21.0,good
145,female,30.000002,3080.0,50.0,good
146,female,38.999996,860.0,6.0,good
147,female,51.0,682.0,12.0,good
148,female,28.000002,4675.0,38.0,good
149,female,46.000004,1439.0,18.0,good
150,female,42.000004,1225.0,6.0,good
151,female,38.0,1723.0,9.0,good
152,female,24.0,5223.0,39.0,good
153,female,28.999998,7758.0,24.0,good
154,female,36.0,6103.0,23.0,good
155,female,20.000002,1282.0,12.0,bad
156,female,48.0,1181.0,9.0,good
157,female,45.000004,332.0,12.0,good
158,female,38.0,3078.0,24.0,good
159,female,34.0,1690.0,6.0,good
160,female,36.0,2526.0,24.0,good
161,female,30.000002,1055.0,18.0,good
162,female,36.0,1147.0,14.0,good
