Index,Sex,Age,Credit amount,Duration,Default
0,female,67.0,1315.0,6.0,good
1,female,22.0,5951.0,48.0,bad
2,female,49.0,2293.0,12.0,good
3,female,45.0,8929.0,42.0,good
4,female,53.0,5587.0,24.0,bad
5,female,35.0,10064.0,36.0,good
6,female,53.0,3176.0,24.0,good
7,female,35.0,7632.0,36.0,good
8,female,61.0,3517.0,12.0,good
9,female,28.0,5537.0,30.0,bad
10,female,25.0,1295.0,12.0,bad
11,female,24.0,4308.0,48.0,bad
12,female,22.0,1567.0,12.0,good
13,female,60.0,1317.0,24.0,bad
14,female,28.0,1403.0,15.0,good
15,female,32.0,1282.0,24.0,bad
16,female,53.0,2697.0,24.0,good
17,female,25.0,8615.0,30.0,good
18,female,44.0,12579.0,24.0,bad
19,female,31.0,3598.0,24.0,good
20,female,48.0,2332.0,9.0,good
21,female,44.0,2877.0,6.0,good
22,female,48.0,2454.0,10.0,good
23,female,44.0,1928.0,12.0,good
24,female,26.0,2088.0,10.0,good
25,female,36.0,1409.0,6.0,good
26,female,39.0,419.0,6.0,good
27,female,42.0,409.0,12.0,good
28,female,34.0,2512.0,7.0,good
29,female,63.0,8305.0,60.0,bad
30,female,36.0,1991.0,18.0,good
31,female,27.0,4189.0,24.0,good
32,female,30.0,6275.0,18.0,good
33,female,57.0,1389.0,12.0,good
34,female,33.0,1474.0,12.0,good
35,female,25.0,4949.0,45.0,bad
36,female,31.0,6573.0,48.0,good
37,female,37.0,2193.0,18.0,bad
38,female,37.0,1250.0,10.0,good
39,female,24.0,430.0,9.0,good
40,female,30.0,2398.0,30.0,good
41,female,26.0,1139.0,12.0,good
42,female,44.0,7002.0,18.0,good
43,female,24.0,6506.0,30.0,good
44,female,58.0,6143.0,48.0,bad
45,female,35.0,1393.0,11.0,good
46,female,39.0,2437.0,36.0,good
47,female,23.0,1352.0,6.0,good
48,female,39.0,8057.0,11.0,good
49,female,28.0,2073.0,12.0,good
50,female,29.0,2388.0,24.0,good
51,female,30.0,6386.0,27.0,good
52,female,25.0,1242.0,12.0,good
53,female,31.0,3542.0,18.0,good
54,female,57.0,2508.0,36.0,bad
55,female,26.0,757.0,6.0,good
56,female,52.0,7452.0,12.0,bad
57,female,31.0,9566.0,36.0,good
58,female,23.0,1961.0,18.0,good
59,female,23.0,6229.0,36.0,bad
60,female,27.0,1384.0,9.0,good
61,female,50.0,1652.0,15.0,good
62,female,61.0,2202.0,36.0,bad
63,female,25.0,15786.0,48.0,bad
64,female,26.0,3181.0,24.0,good
65,female,48.0,5903.0,27.0,good
66,female,29.0,2171.0,12.0,good
67,female,22.0,972.0,12.0,good
68,female,37.0,1887.0,36.0,bad
69,female,25.0,2394.0,36.0,good
70,female,30.0,8133.0,36.0,good
71,female,46.0,752.0,7.0,good
72,female,51.0,1245.0,8.0,good
73,female,41.0,5954.0,42.0,good
74,female,40.0,2079.0,36.0,bad
75,female,66.0,1736.0,12.0,good
76,female,34.0,4212.0,42.0,bad
77,female,51.0,5430.0,11.0,good
78,female,39.0,10643.0,54.0,good
79,female,22.0,3919.0,30.0,good
80,female,44.0,5943.0,24.0,bad
81,female,47.0,1278.0,15.0,good
82,female,24.0,1568.0,18.0,good
83,female,58.0,1755.0,24.0,good
84,female,52.0,2552.0,10.0,good
85,female,29.0,1412.0,12.0,good
86,female,27.0,1295.0,18.0,good
87,female,47.0,14670.0,36.0,bad
88,female,30.0,2308.0,18.0,good
89,female,28.0,1096.0,12.0,bad
90,female,56.0,653.0,12.0,good
91,female,54.0,1542.0,12.0,good
92,female,33.0,797.0,12.0,bad
93,female,20.0,3724.0,24.0,good
94,female,54.0,1438.0,12.0,good
95,female,58.0,19570.0,54.0,bad
96,female,61.0,2012.0,12.0,good
97,female,34.0,2737.0,18.0,good
98,female,36.0,2454.0,36.0,good
99,female,36.0,7784.0,20.0,good
100,female,41.0,1534.0,24.0,good
101,female,24.0,2341.0,36.0,good
102,female,24.0,932.0,6.0,good
103,female,35.0,1991.0,9.0,good
104,female,26.0,2485.0,12.0,good
105,female,39.0,13605.0,24.0,bad
106,female,39.0,7163.0,18.0,bad
107,female,32.0,6561.0,12.0,good
108,female,30.0,7721.0,24.0,good
109,female,35.0,1443.0,14.0,good
110,female,31.0,1464.0,6.0,good
111,female,23.0,392.0,15.0,good
112,female,28.0,6674.0,18.0,good
113,female,25.0,7855.0,36.0,bad
114,female,35.0,1733.0,12.0,good
115,female,47.0,3946.0,48.0,good
116,female,30.0,7174.0,42.0,bad
117,female,27.0,2132.0,10.0,good
118,female,23.0,4281.0,33.0,bad
119,female,36.0,2486.0,12.0,good
120,female,25.0,1835.0,21.0,bad
121,female,41.0,3868.0,24.0,good
122,female,24.0,1760.0,12.0,good
123,female,63.0,859.0,9.0,good
124,female,27.0,1924.0,18.0,bad
125,female,30.0,2171.0,12.0,good
126,female,40.0,706.0,12.0,good
127,female,30.0,621.0,12.0,bad
128,female,34.0,1913.0,12.0,good
129,female,29.0,3499.0,12.0,bad
130,female,24.0,8487.0,48.0,good
131,female,29.0,7388.0,36.0,bad
132,female,27.0,2774.0,15.0,good
133,female,47.0,2134.0,18.0,good
134,female,21.0,10144.0,60.0,good
135,female,38.0,1240.0,12.0,good
136,female,27.0,9278.0,27.0,good
137,female,66.0,846.0,11.0,bad
138,female,35.0,2875.0,15.0,good
139,female,44.0,1881.0,12.0,good
140,female,27.0,685.0,6.0,good
141,female,30.0,4795.0,36.0,good
142,female,27.0,3535.0,27.0,good
143,female,22.0,2470.0,18.0,bad
144,female,23.0,2288.0,21.0,good
145,female,30.0,3734.0,48.0,good
146,female,39.0,860.0,6.0,good
147,female,51.0,682.0,12.0,good
148,female,28.0,5689.0,36.0,good
149,female,46.0,1685.0,18.0,good
150,female,42.0,1401.0,6.0,good
151,female,38.0,2021.0,10.0,good
152,female,24.0,6134.0,36.0,good
153,female,29.0,7758.0,24.0,good
154,female,36.0,7680.0,24.0,good
155,female,20.0,1282.0,12.0,bad
156,female,48.0,1376.0,9.0,good
157,female,45.0,336.0,12.0,good
158,female,38.0,3790.0,24.0,good
159,female,34.0,1954.0,6.0,good
160,female,36.0,3044.0,24.0,good
161,female,30.0,1055.0,18.0,good
162,female,36.0,1290.0,15.0,good
163,female,70.0,9004.0,10.0,good
164,female,36.0,916.0,36.0,good
165,female,32.0,3116.0,6.0,good
166,female,33.0,1131.0,18.0,bad
167,female,20.0,1577.0,11.0,good
168,female,25.0,3972.0,24.0,good
169,female,31.0,1980.0,24.0,bad
170,female,33.0,949.0,15.0,bad
171,female,26.0,763.0,12.0,good
172,female,34.0,2064.0,24.0,bad
173,female,33.0,1437.0,8.0,good
174,female,26.0,3520.0,21.0,bad
175,female,53.0,7485.0,30.0,bad
176,female,42.0,2758.0,12.0,good
177,female,52.0,343.0,6.0,good
178,female,31.0,2010.0,12.0,good
179,female,65.0,619.0,20.0,good
180,female,28.0,10396.0,36.0,bad
181,female,30.0,4709.0,36.0,bad
182,female,40.0,1719.0,21.0,bad
183,female,50.0,4217.0,24.0,good
184,female,36.0,889.0,18.0,bad
185,female,31.0,1371.0,15.0,good
186,female,74.0,5129.0,9.0,bad
187,female,68.0,1337.0,16.0,good
188,female,20.0,639.0,12.0,bad
189,female,33.0,3244.0,18.0,good
190,female,54.0,5298.0,24.0,bad
191,female,34.0,4078.0,48.0,bad
192,female,36.0,4207.0,27.0,bad
193,female,29.0,2148.0,6.0,good
194,female,21.0,3081.0,45.0,bad
195,female,34.0,1501.0,9.0,bad
196,female,28.0,1382.0,6.0,good
197,female,27.0,951.0,12.0,bad
198,female,36.0,2920.0,24.0,good
199,female,40.0,4670.0,18.0,bad
200,female,52.0,992.0,9.0,good
201,female,27.0,1153.0,12.0,good
202,female,26.0,5370.0,27.0,good
203,female,21.0,866.0,12.0,bad
204,female,38.0,1553.0,12.0,good
205,female,38.0,12050.0,30.0,good
206,female,43.0,2068.0,12.0,good
207,female,26.0,1414.0,12.0,good
208,female,21.0,6921.0,24.0,good
209,female,55.0,1538.0,12.0,good
210,female,33.0,3233.0,9.0,good
211,female,45.0,3835.0,36.0,good
212,female,50.0,5996.0,27.0,bad
213,female,66.0,2192.0,30.0,bad
214,female,51.0,3745.0,36.0,good
215,female,39.0,932.0,6.0,good
216,female,31.0,3242.0,18.0,good
217,female,23.0,4019.0,36.0,good
218,female,24.0,3079.0,24.0,good
219,female,64.0,1364.0,10.0,good
220,female,26.0,599.0,12.0,good
221,female,23.0,1200.0,12.0,good
222,female,30.0,690.0,12.0,good
223,female,32.0,3116.0,24.0,good
224,female,30.0,4932.0,15.0,good
225,female,27.0,2672.0,36.0,good
226,female,27.0,11932.0,48.0,bad
227,female,53.0,9214.0,12.0,bad
228,female,22.0,1450.0,9.0,bad
229,female,22.0,3193.0,24.0,good
230,female,26.0,4381.0,36.0,bad
231,female,51.0,2774.0,9.0,good
232,female,35.0,2232.0,12.0,good
233,female,25.0,839.0,18.0,good
234,female,42.0,1617.0,4.0,good
235,female,30.0,1854.0,24.0,bad
236,female,23.0,15829.0,6.0,bad
237,female,61.0,3167.0,21.0,bad
238,female,35.0,1291.0,12.0,good
239,female,39.0,2684.0,30.0,good
240,female,29.0,915.0,24.0,bad
241,female,51.0,1730.0,6.0,good
242,female,24.0,4780.0,48.0,bad
243,female,27.0,1185.0,12.0,good
244,female,35.0,3447.0,12.0,good
245,female,25.0,1238.0,24.0,good
246,female,52.0,751.0,12.0,good
247,female,35.0,1224.0,6.0,good
248,female,26.0,1936.0,24.0,good
249,female,22.0,433.0,18.0,bad
250,female,39.0,666.0,6.0,good
251,female,46.0,2251.0,12.0,good
252,female,24.0,2150.0,30.0,bad
253,female,35.0,4457.0,24.0,good
254,female,24.0,2033.0,9.0,good
255,female,27.0,7939.0,60.0,good
256,female,35.0,2826.0,24.0,good
257,female,29.0,2192.0,12.0,bad
258,female,23.0,3812.0,15.0,good
259,female,57.0,1154.0,11.0,good
260,female,27.0,1661.0,12.0,good
261,female,55.0,1603.0,24.0,good
262,female,36.0,5775.0,18.0,good
263,female,57.0,2748.0,12.0,good
264,female,32.0,1239.0,10.0,good
265,female,37.0,803.0,15.0,bad
266,female,36.0,6919.0,36.0,good
267,female,38.0,1533.0,24.0,good
268,female,45.0,10227.0,14.0,bad
269,female,25.0,973.0,24.0,good
270,female,32.0,2771.0,18.0,good
271,female,37.0,1402.0,12.0,good
272,female,36.0,13751.0,48.0,good
273,female,28.0,3162.0,48.0,bad
274,female,34.0,13365.0,30.0,bad
275,female,32.0,2809.0,9.0,good
276,female,26.0,2404.0,18.0,good
277,female,49.0,1350.0,12.0,good
278,female,32.0,4611.0,6.0,bad
279,female,29.0,1928.0,24.0,good
280,female,23.0,3437.0,15.0,good
281,female,50.0,1693.0,12.0,good
282,female,49.0,1555.0,18.0,good
283,female,63.0,1724.0,15.0,good
284,female,37.0,4157.0,24.0,good
285,female,35.0,10722.0,47.0,good
286,female,26.0,5010.0,48.0,good
287,female,31.0,8233.0,48.0,good
288,female,49.0,1092.0,12.0,good
289,female,48.0,1083.0,24.0,bad
290,female,26.0,1055.0,12.0,good
291,female,28.0,10199.0,36.0,bad
292,female,44.0,6419.0,24.0,good
293,female,56.0,5535.0,42.0,good
294,female,46.0,8694.0,48.0,good
295,female,26.0,9960.0,48.0,bad
296,female,20.0,4675.0,12.0,good
297,female,45.0,1351.0,10.0,good
298,female,43.0,2720.0,18.0,good
299,female,32.0,2862.0,21.0,good
300,female,54.0,672.0,6.0,good
301,female,42.0,3804.0,36.0,bad
302,female,37.0,1377.0,24.0,bad
303,female,49.0,1101.0,10.0,good
304,female,44.0,11679.0,48.0,bad
305,female,33.0,1574.0,6.0,good
306,female,24.0,4811.0,30.0,good
307,female,33.0,718.0,12.0,bad
308,female,24.0,1237.0,8.0,bad
309,female,22.0,252.0,10.0,good
310,female,40.0,5905.0,48.0,good
311,female,25.0,5785.0,24.0,good
312,female,26.0,3749.0,24.0,good
313,female,25.0,657.0,12.0,bad
314,female,29.0,1500.0,4.0,good
315,female,31.0,2853.0,36.0,bad
316,female,38.0,711.0,12.0,good
317,female,48.0,4351.0,24.0,good
318,female,32.0,688.0,12.0,good
319,female,27.0,3643.0,15.0,good
320,female,28.0,4454.0,30.0,bad
321,female,32.0,1990.0,24.0,bad
322,female,34.0,3051.0,24.0,good
323,female,28.0,2731.0,18.0,good
324,female,36.0,1028.0,18.0,good
325,female,39.0,3664.0,8.0,good
326,female,49.0,6643.0,12.0,good
327,female,34.0,1525.0,24.0,good
328,female,31.0,4747.0,36.0,good
329,female,28.0,1054.0,6.0,good
330,female,75.0,8252.0,24.0,good
331,female,30.0,1864.0,18.0,bad
332,female,24.0,7408.0,60.0,bad
333,female,24.0,11590.0,48.0,bad
334,female,23.0,4230.0,24.0,bad
335,female,44.0,3718.0,6.0,bad
336,female,23.0,2101.0,13.0,good
337,female,24.0,1275.0,15.0,bad
338,female,28.0,4367.0,24.0,good
339,female,31.0,1540.0,10.0,good
340,female,24.0,5743.0,24.0,good
341,female,26.0,3599.0,21.0,good
342,female,25.0,3294.0,18.0,good
343,female,33.0,4746.0,18.0,good
344,female,37.0,4236.0,10.0,good
345,female,43.0,1459.0,15.0,good
346,female,23.0,849.0,13.0,good
347,female,23.0,3758.0,24.0,good
348,female,34.0,1788.0,6.0,good
349,female,32.0,1139.0,9.0,bad
350,female,23.0,1236.0,9.0,good
351,female,29.0,959.0,9.0,bad
352,female,38.0,3472.0,18.0,good
353,female,28.0,6607.0,12.0,bad
354,female,46.0,749.0,10.0,good
355,female,23.0,1218.0,24.0,bad
356,female,49.0,2563.0,12.0,good
357,female,26.0,4656.0,36.0,bad
358,female,28.0,755.0,12.0,good
359,female,23.0,2406.0,30.0,bad
360,female,61.0,1370.0,18.0,good
361,female,37.0,3623.0,12.0,good
362,female,36.0,2247.0,12.0,good
363,female,21.0,1750.0,6.0,good
364,female,25.0,2507.0,18.0,bad
365,female,36.0,1590.0,12.0,good
366,female,27.0,4005.0,18.0,good
367,female,22.0,3650.0,18.0,good
368,female,42.0,3733.0,36.0,bad
369,female,40.0,3001.0,18.0,good
370,female,36.0,3274.0,36.0,good
371,female,33.0,6580.0,18.0,good
372,female,23.0,2146.0,10.0,good
373,female,63.0,17253.0,60.0,good
374,female,60.0,14782.0,60.0,bad
375,female,37.0,7685.0,48.0,bad
376,female,34.0,2409.0,18.0,good
377,female,36.0,849.0,7.0,good
378,female,57.0,17521.0,36.0,bad
379,female,52.0,362.0,6.0,good
380,female,39.0,2341.0,20.0,good
381,female,38.0,12976.0,18.0,bad
382,female,25.0,1283.0,22.0,good
383,female,26.0,1316.0,12.0,good
384,female,26.0,4448.0,30.0,good
385,female,25.0,2238.0,18.0,good
386,female,21.0,1126.0,18.0,good
387,female,40.0,8200.0,18.0,good
388,female,27.0,2367.0,15.0,good
389,female,27.0,1449.0,9.0,good
390,female,30.0,1851.0,18.0,good
391,female,19.0,983.0,12.0,good
392,female,39.0,3496.0,36.0,good
393,female,31.0,1957.0,6.0,good
394,female,31.0,2486.0,9.0,good
395,female,32.0,13068.0,39.0,good
396,female,55.0,2578.0,12.0,good
397,female,46.0,2543.0,36.0,good
398,female,46.0,1288.0,12.0,bad
399,female,43.0,1516.0,24.0,good
400,female,39.0,1531.0,18.0,good
401,female,28.0,1910.0,18.0,good
402,female,27.0,9317.0,24.0,bad
403,female,27.0,779.0,14.0,good
404,female,43.0,3155.0,18.0,good
405,female,22.0,2029.0,24.0,bad
406,female,43.0,2362.0,24.0,good
407,female,27.0,1035.0,15.0,good
408,female,26.0,3328.0,24.0,good
409,female,28.0,922.0,12.0,bad
410,female,20.0,1967.0,24.0,good
411,female,35.0,7982.0,33.0,good
412,female,42.0,2441.0,12.0,bad
413,female,40.0,1665.0,10.0,good
414,female,35.0,1381.0,24.0,bad
415,female,35.0,6368.0,36.0,good
416,female,33.0,2692.0,12.0,bad
417,female,23.0,8471.0,18.0,good
418,female,31.0,2782.0,21.0,good
419,female,33.0,1042.0,18.0,bad
420,female,20.0,3186.0,15.0,good
421,female,30.0,2072.0,12.0,good
422,female,47.0,999.0,12.0,good
423,female,34.0,1625.0,21.0,good
424,female,25.0,2762.0,12.0,bad
425,female,21.0,2813.0,18.0,good
426,female,29.0,2827.0,28.0,good
427,female,46.0,1207.0,18.0,good
428,female,20.0,1286.0,9.0,good
429,female,55.0,1190.0,18.0,bad
430,female,74.0,4180.0,5.0,good
431,female,29.0,12417.0,24.0,bad
432,female,36.0,1947.0,6.0,good
433,female,33.0,2127.0,24.0,good
434,female,25.0,2151.0,9.0,good
435,female,25.0,1471.0,12.0,bad
436,female,23.0,627.0,6.0,good
437,female,37.0,1287.0,24.0,good
438,female,65.0,3975.0,42.0,good
439,female,26.0,609.0,12.0,bad
440,female,39.0,1979.0,12.0,good
441,female,30.0,1620.0,12.0,good
442,female,29.0,2705.0,20.0,good
443,female,41.0,728.0,12.0,bad
444,female,30.0,5096.0,48.0,bad
445,female,41.0,1244.0,9.0,good
446,female,34.0,1842.0,36.0,bad
447,female,35.0,2708.0,7.0,good
448,female,55.0,1424.0,12.0,good
449,female,61.0,1686.0,15.0,bad
450,female,30.0,12154.0,36.0,good
451,female,29.0,518.0,6.0,good
452,female,34.0,2886.0,12.0,good
453,female,35.0,2811.0,24.0,good
454,female,31.0,5129.0,24.0,bad
455,female,29.0,2679.0,24.0,good
456,female,36.0,4196.0,11.0,good
457,female,35.0,3603.0,12.0,bad
458,female,27.0,343.0,6.0,good
459,female,32.0,4899.0,18.0,good
460,female,37.0,3869.0,36.0,good
461,female,36.0,1783.0,15.0,good
462,female,34.0,3017.0,12.0,good
463,female,38.0,759.0,12.0,good
464,female,34.0,2010.0,18.0,good
465,female,63.0,3417.0,24.0,good
466,female,29.0,1659.0,24.0,bad
467,female,32.0,7874.0,48.0,good
468,female,26.0,2764.0,33.0,good
469,female,35.0,5050.0,24.0,good
470,female,22.0,3133.0,24.0,bad
471,female,23.0,448.0,6.0,bad
472,female,28.0,632.0,9.0,bad
473,female,36.0,1264.0,6.0,good
474,female,33.0,1258.0,18.0,bad
475,female,26.0,3114.0,18.0,bad
476,female,24.0,2600.0,39.0,good
477,female,25.0,5392.0,24.0,good
478,female,39.0,1061.0,12.0,good
479,female,44.0,1566.0,15.0,good
480,female,23.0,3573.0,12.0,good
481,female,26.0,1184.0,24.0,good
482,female,57.0,3622.0,30.0,good
483,female,30.0,960.0,15.0,good
484,female,44.0,1219.0,12.0,good
485,female,47.0,1274.0,6.0,bad
486,female,52.0,3433.0,12.0,good
487,female,62.0,3757.0,24.0,good
488,female,35.0,1452.0,10.0,good
489,female,26.0,3632.0,6.0,good
490,female,26.0,1946.0,12.0,good
491,female,42.0,8318.0,27.0,bad
492,female,27.0,1237.0,6.0,good
493,female,38.0,359.0,6.0,good
494,female,39.0,2241.0,12.0,good
495,female,20.0,3056.0,24.0,bad
496,female,29.0,9806.0,36.0,bad
497,female,40.0,1652.0,24.0,good
498,female,32.0,1312.0,18.0,good
499,female,28.0,1318.0,6.0,good
500,female,27.0,3123.0,24.0,bad
501,female,42.0,6069.0,36.0,good
502,female,49.0,1198.0,9.0,good
503,female,38.0,1251.0,24.0,bad
504,female,24.0,1207.0,24.0,bad
505,female,27.0,1299.0,10.0,bad
506,female,36.0,2480.0,15.0,good
507,female,34.0,7450.0,15.0,bad
508,female,28.0,1412.0,24.0,good
509,female,45.0,9764.0,39.0,good
510,female,26.0,733.0,12.0,bad
511,female,32.0,5001.0,36.0,good
512,female,26.0,2742.0,15.0,good
513,female,20.0,550.0,12.0,good
514,female,54.0,2520.0,24.0,good
515,female,37.0,609.0,6.0,good
516,female,40.0,1409.0,6.0,good
517,female,23.0,7127.0,36.0,bad
518,female,43.0,1259.0,6.0,good
519,female,36.0,697.0,6.0,good
520,female,44.0,6182.0,24.0,good
521,female,24.0,3190.0,18.0,bad
522,female,53.0,8304.0,48.0,bad
523,female,23.0,3488.0,24.0,good
524,female,26.0,1113.0,18.0,good
525,female,30.0,8635.0,26.0,good
526,female,31.0,1532.0,15.0,good
527,female,42.0,1572.0,4.0,good
528,female,31.0,2374.0,36.0,bad
529,female,41.0,668.0,6.0,good
530,female,32.0,2350.0,36.0,good
531,female,28.0,2631.0,15.0,bad
532,female,41.0,1571.0,12.0,good
533,female,26.0,1297.0,24.0,good
534,female,25.0,3179.0,24.0,good
535,female,33.0,2409.0,21.0,bad
536,female,75.0,1374.0,6.0,good
537,female,37.0,3612.0,18.0,good
538,female,42.0,8703.0,48.0,bad
539,female,45.0,3049.0,18.0,good
540,female,23.0,1513.0,12.0,bad
541,female,60.0,2283.0,24.0,good
542,female,31.0,6842.0,30.0,bad
543,female,34.0,3000.0,18.0,bad
544,female,61.0,1388.0,12.0,good
545,female,43.0,1401.0,24.0,bad
546,female,37.0,2022.0,24.0,good
547,female,32.0,1578.0,24.0,good
548,female,24.0,626.0,12.0,bad
549,female,35.0,9835.0,48.0,good
550,female,23.0,996.0,12.0,good
551,female,45.0,1860.0,6.0,good
552,female,34.0,7619.0,48.0,bad
553,female,27.0,2017.0,12.0,good
554,female,67.0,1199.0,9.0,good
555,female,22.0,1300.0,12.0,bad
556,female,28.0,2278.0,18.0,bad
557,female,29.0,5003.0,21.0,bad
558,female,27.0,3682.0,24.0,bad
559,female,31.0,1973.0,18.0,bad
560,female,49.0,3294.0,24.0,good
561,female,24.0,1530.0,24.0,bad
562,female,29.0,683.0,6.0,good
563,female,37.0,13957.0,36.0,bad
564,female,37.0,5093.0,24.0,good
565,female,23.0,1553.0,24.0,good
566,female,36.0,1407.0,12.0,bad
567,female,34.0,2689.0,24.0,good
