Index,Sex,Age,Credit amount,Duration,Default
0,female,67.0,1160.0,6.0,good
1,female,22.0,5951.0,48.0,bad
2,female,49.0,2063.0,12.0,good
3,female,45.0,7714.0,42.0,good
4,female,53.0,4780.0,24.0,bad
5,female,35.0,8807.0,35.0,good
6,female,53.0,2788.0,24.0,good
7,female,35.0,6779.0,36.0,good
8,female,61.0,3017.0,12.0,good
9,female,28.0,5109.0,30.0,bad
10,female,25.0,1295.0,12.0,bad
11,female,24.0,4308.0,48.0,bad
12,female,22.0,1567.0,12.0,good
13,female,60.0,1188.0,24.0,bad
14,female,28.0,1403.0,15.0,good
15,female,32.0,1282.0,24.0,bad
16,female,53.0,2386.0,24.0,good
17,female,25.0,7775.0,29.0,good
18,female,44.0,12579.0,24.0,bad
19,female,31.0,3336.0,24.0,good
20,female,48.0,2100.0,9.0,good
21,female,44.0,2597.0,6.0,good
22,female,48.0,2205.0,10.0,good
23,female,44.0,1775.0,12.0,good
24,female,26.0,2017.0,10.0,good
25,female,36.0,1354.0,6.0,good
26,female,39.0,425.0,6.0,good
27,female,42.0,409.0,12.0,good
28,female,34.0,2361.0,7.0,good
29,female,63.0,6731.0,60.0,bad
30,female,36.0,1878.0,18.0,good
31,female,27.0,3915.0,24.0,good
32,female,30.0,5728.0,18.0,good
33,female,57.0,1253.0,12.0,good
34,female,33.0,1474.0,12.0,good
35,female,25.0,4615.0,45.0,bad
36,female,31.0,5958.0,48.0,good
37,female,37.0,2055.0,18.0,bad
38,female,37.0,1206.0,10.0,good
39,female,24.0,456.0,9.0,good
40,female,30.0,2276.0,30.0,good
41,female,26.0,1137.0,12.0,good
42,female,44.0,6071.0,18.0,good
43,female,24.0,5921.0,29.0,good
44,female,58.0,6143.0,48.0,bad
45,female,35.0,1393.0,11.0,good
46,female,39.0,2251.0,36.0,good
47,female,23.0,1352.0,6.0,good
48,female,39.0,7058.0,11.0,good
49,female,28.0,2073.0,12.0,good
50,female,29.0,2272.0,24.0,good
51,female,30.0,5825.0,27.0,good
52,female,25.0,1236.0,12.0,good
53,female,31.0,3285.0,18.0,good
54,female,57.0,2197.0,36.0,bad
55,female,26.0,774.0,6.0,good
56,female,52.0,6352.0,12.0,bad
57,female,31.0,9566.0,36.0,good
58,female,23.0,1961.0,18.0,good
59,female,23.0,6229.0,36.0,bad
60,female,27.0,1362.0,9.0,good
61,female,50.0,1519.0,15.0,good
62,female,61.0,1931.0,36.0,bad
63,female,25.0,14269.0,48.0,bad
64,female,26.0,3181.0,24.0,good
65,female,48.0,5088.0,27.0,good
66,female,29.0,2171.0,12.0,good
67,female,22.0,988.0,12.0,good
68,female,37.0,1783.0,36.0,bad
69,female,25.0,2394.0,36.0,good
70,female,30.0,8133.0,36.0,good
71,female,46.0,725.0,7.0,good
72,female,51.0,1152.0,8.0,good
73,female,41.0,5954.0,42.0,good
74,female,40.0,1941.0,36.0,bad
75,female,66.0,1512.0,12.0,good
76,female,34.0,3867.0,42.0,bad
77,female,51.0,4678.0,11.0,good
78,female,39.0,9237.0,54.0,good
79,female,22.0,3720.0,30.0,good
80,female,44.0,5943.0,24.0,bad
81,female,47.0,1199.0,15.0,good
82,female,24.0,1568.0,18.0,good
83,female,58.0,1755.0,24.0,good
84,female,52.0,2280.0,10.0,good
85,female,29.0,1412.0,12.0,good
86,female,27.0,1295.0,18.0,good
87,female,47.0,12392.0,36.0,bad
88,female,30.0,2195.0,18.0,good
89,female,28.0,1090.0,12.0,bad
90,female,56.0,616.0,12.0,good
91,female,54.0,1394.0,12.0,good
92,female,33.0,797.0,12.0,bad
93,female,20.0,3498.0,24.0,good
94,female,54.0,1305.0,12.0,good
95,female,58.0,15771.0,54.0,bad
96,female,61.0,2012.0,12.0,good
97,female,34.0,2562.0,18.0,good
98,female,36.0,2290.0,36.0,good
99,female,36.0,6912.0,20.0,good
100,female,41.0,1446.0,24.0,good
101,female,24.0,2263.0,36.0,good
102,female,24.0,932.0,6.0,good
103,female,35.0,1878.0,9.0,good
104,female,26.0,2382.0,12.0,good
105,female,39.0,11611.0,23.0,bad
106,female,39.0,6302.0,18.0,bad
107,female,32.0,5950.0,12.0,good
108,female,30.0,7721.0,24.0,good
109,female,35.0,1385.0,14.0,good
110,female,31.0,1420.0,6.0,good
111,female,23.0,392.0,15.0,good
112,female,28.0,6068.0,18.0,good
113,female,25.0,7855.0,36.0,bad
114,female,35.0,1647.0,12.0,good
115,female,47.0,3505.0,48.0,good
116,female,30.0,7174.0,42.0,bad
117,female,27.0,2132.0,10.0,good
118,female,23.0,4281.0,33.0,bad
119,female,36.0,2319.0,12.0,good
120,female,25.0,1835.0,21.0,bad
121,female,41.0,3868.0,24.0,good
122,female,24.0,1725.0,12.0,good
123,female,63.0,777.0,10.0,good
124,female,27.0,1924.0,18.0,bad
125,female,30.0,2071.0,12.0,good
126,female,40.0,696.0,12.0,good
127,female,30.0,634.0,12.0,bad
128,female,34.0,1823.0,12.0,good
129,female,29.0,3499.0,12.0,bad
130,female,24.0,8487.0,48.0,good
131,female,29.0,6657.0,35.0,bad
132,female,27.0,2636.0,15.0,good
133,female,47.0,1951.0,18.0,good
134,female,21.0,10144.0,60.0,good
135,female,38.0,1240.0,12.0,good
136,female,27.0,8313.0,26.0,good
137,female,66.0,762.0,12.0,bad
138,female,35.0,2661.0,15.0,good
139,female,44.0,1881.0,12.0,good
140,female,27.0,702.0,6.0,good
141,female,30.0,4795.0,36.0,good
142,female,27.0,3324.0,27.0,good
143,female,22.0,2395.0,18.0,bad
144,female,23.0,2288.0,21.0,good
145,female,30.0,3472.0,48.0,good
146,female,39.0,860.0,6.0,good
147,female,51.0,682.0,12.0,good
148,female,28.0,5241.0,36.0,good
149,female,46.0,1561.0,18.0,good
150,female,42.0,1329.0,6.0,good
151,female,38.0,1887.0,10.0,good
152,female,24.0,5607.0,35.0,good
153,female,29.0,7758.0,24.0,good
154,female,36.0,6823.0,24.0,good
155,female,20.0,1282.0,12.0,bad
156,female,48.0,1273.0,9.0,good
157,female,45.0,339.0,12.0,good
158,female,38.0,3428.0,24.0,good
159,female,34.0,1860.0,6.0,good
160,female,36.0,2811.0,24.0,good
161,female,30.0,1055.0,18.0,good
162,female,36.0,1244.0,15.0,good
163,female,70.0,7210.0,10.0,good
164,female,36.0,900.0,36.0,good
165,female,32.0,2910.0,6.0,good
166,female,33.0,1131.0,18.0,bad
167,female,20.0,1577.0,11.0,good
168,female,25.0,3972.0,24.0,good
169,female,31.0,1889.0,24.0,bad
170,female,33.0,938.0,15.0,bad
171,female,26.0,763.0,12.0,good
172,female,34.0,2064.0,24.0,bad
173,female,33.0,1388.0,8.0,good
174,female,26.0,3325.0,21.0,bad
175,female,53.0,7485.0,30.0,bad
176,female,42.0,2529.0,12.0,good
177,female,52.0,338.0,6.0,good
178,female,31.0,1917.0,12.0,good
179,female,65.0,569.0,21.0,good
180,female,28.0,9280.0,35.0,bad
181,female,30.0,4340.0,36.0,bad
182,female,40.0,1620.0,21.0,bad
183,female,50.0,3714.0,24.0,good
184,female,36.0,875.0,18.0,bad
185,female,31.0,1334.0,15.0,good
186,female,74.0,5129.0,9.0,bad
187,female,68.0,1166.0,16.0,good
188,female,20.0,666.0,12.0,bad
189,female,33.0,3244.0,18.0,good
190,female,54.0,4513.0,24.0,bad
191,female,34.0,3750.0,48.0,bad
192,female,36.0,3827.0,27.0,bad
193,female,29.0,2055.0,6.0,good
194,female,21.0,2966.0,45.0,bad
195,female,34.0,1501.0,9.0,bad
196,female,28.0,1382.0,6.0,good
197,female,27.0,951.0,12.0,bad
198,female,36.0,2702.0,24.0,good
