Index,Sex,Age,Credit amount,Duration,Default
0,male,67.0,1169.0,6.0,good
1,male,22.0,8016.0,48.0,bad
2,male,49.0,2096.0,12.0,good
3,male,45.0,7882.0,42.0,good
4,male,53.0,4870.0,24.0,bad
5,male,35.0,9055.0,36.0,good
6,male,53.0,2835.0,24.0,good
7,male,35.0,6948.0,36.0,good
8,male,61.0,3059.0,12.0,good
9,male,28.0,5234.0,30.0,bad
10,male,25.0,1289.0,12.0,bad
11,male,24.0,6018.0,48.0,bad
12,male,22.0,1561.0,12.0,good
13,male,60.0,1199.0,24.0,bad
14,male,28.0,1394.0,15.0,good
15,male,32.0,1351.0,24.0,bad
16,male,53.0,2424.0,24.0,good
17,male,25.0,8072.0,30.0,good
18,male,44.0,12793.0,24.0,bad
19,male,31.0,3430.0,24.0,good
20,male,48.0,2134.0,9.0,good
21,male,44.0,2647.0,6.0,good
22,male,48.0,2241.0,10.0,good
23,male,44.0,1804.0,12.0,good
24,male,26.0,2069.0,10.0,good
25,male,36.0,1374.0,6.0,good
26,male,39.0,426.0,6.0,good
27,male,42.0,410.0,12.0,good
28,male,34.0,2415.0,7.0,good
29,male,63.0,6836.0,60.0,bad
30,male,36.0,1913.0,18.0,good
31,male,27.0,4020.0,24.0,good
32,male,30.0,5866.0,18.0,good
33,male,57.0,1264.0,12.0,good
34,male,33.0,1464.0,12.0,good
35,male,25.0,4746.0,45.0,bad
36,male,31.0,6110.0,48.0,good
37,male,37.0,2100.0,18.0,bad
38,male,37.0,1225.0,10.0,good
39,male,24.0,458.0,9.0,good
40,male,30.0,2333.0,30.0,good
41,male,26.0,1158.0,12.0,good
42,male,44.0,6204.0,18.0,good
43,male,24.0,6187.0,30.0,good
44,male,58.0,6187.0,48.0,bad
45,male,35.0,1431.0,11.0,good
46,male,39.0,2299.0,36.0,good
47,male,23.0,1345.0,6.0,good
48,male,39.0,7228.0,11.0,good
49,male,28.0,2075.0,12.0,good
50,male,29.0,2333.0,24.0,good
51,male,30.0,5965.0,27.0,good
52,male,25.0,1262.0,12.0,good
53,male,31.0,3378.0,18.0,good
54,male,57.0,2225.0,36.0,bad
55,male,26.0,783.0,6.0,good
56,male,52.0,6468.0,12.0,bad
57,male,31.0,10861.0,36.0,good
58,male,23.0,1962.0,18.0,good
59,male,23.0,8382.0,36.0,bad
60,male,27.0,1391.0,9.0,good
61,male,50.0,1537.0,15.0,good
62,male,61.0,1953.0,36.0,bad
63,male,25.0,14421.0,48.0,bad
64,male,26.0,3769.0,24.0,good
65,male,48.0,5190.0,27.0,good
66,male,29.0,2175.0,12.0,good
67,male,22.0,1007.0,12.0,good
68,male,37.0,1819.0,36.0,bad
69,male,25.0,2408.0,36.0,good
70,male,30.0,9927.0,36.0,good
71,male,46.0,730.0,7.0,good
72,male,51.0,1164.0,8.0,good
73,male,41.0,6534.0,42.0,good
74,male,40.0,1977.0,36.0,bad
75,male,66.0,1526.0,12.0,good
76,male,34.0,3965.0,42.0,bad
77,male,51.0,4771.0,11.0,good
78,male,39.0,9436.0,54.0,good
79,male,22.0,3832.0,30.0,good
80,male,44.0,6264.0,24.0,bad
81,male,47.0,1213.0,15.0,good
82,male,24.0,1561.0,18.0,good
83,male,58.0,1757.0,24.0,good
84,male,52.0,2315.0,10.0,good
85,male,29.0,1403.0,12.0,good
86,male,27.0,1288.0,18.0,good
87,male,47.0,12612.0,36.0,bad
88,male,30.0,2249.0,18.0,good
89,male,28.0,1108.0,12.0,bad
90,male,56.0,618.0,12.0,good
91,male,54.0,1409.0,12.0,good
92,male,33.0,799.0,12.0,bad
93,male,20.0,3617.0,24.0,good
94,male,54.0,1318.0,12.0,good
95,male,58.0,15945.0,54.0,bad
96,male,61.0,2004.0,12.0,good
97,male,34.0,2622.0,18.0,good
98,male,36.0,2337.0,36.0,good
99,male,36.0,7057.0,20.0,good
100,male,41.0,1469.0,24.0,good
101,male,24.0,2323.0,36.0,good
102,male,24.0,930.0,6.0,good
103,male,35.0,1919.0,9.0,good
104,male,26.0,2445.0,12.0,good
105,male,39.0,11938.0,24.0,bad
106,male,39.0,6458.0,18.0,bad
107,male,32.0,6078.0,12.0,good
108,male,30.0,9624.0,24.0,good
109,male,35.0,1410.0,14.0,good
110,male,31.0,1449.0,6.0,good
