Index,Sex,Age,Credit amount,Duration,Default
0,female,67.00001,1179.0,6.0,good
1,female,22.000002,5951.0,48.0,bad
2,female,49.000004,2137.0,12.0,good
3,female,45.000004,7951.0,43.0,good
4,female,52.999996,4961.0,24.0,bad
5,female,35.000004,9033.0,37.0,good
6,female,52.999996,2892.0,24.0,good
7,female,35.000004,6974.0,37.0,good
8,female,60.999992,3126.0,12.0,good
9,female,28.000002,5254.0,29.0,bad
10,female,25.000002,1295.0,12.0,bad
11,female,24.0,4308.0,48.0,bad
12,female,22.000002,1567.0,12.0,good
13,female,60.000004,1212.0,24.0,bad
14,female,28.000002,1403.0,15.0,good
15,female,32.0,1282.0,24.0,bad
16,female,52.999996,2472.0,24.0,good
17,female,25.000002,7992.0,31.0,good
18,female,44.000004,12579.0,24.0,bad
19,female,30.999998,3475.0,24.0,good
20,female,48.0,2176.0,9.0,good
21,female,44.000004,2699.0,6.0,good
22,female,48.0,2286.0,10.0,good
23,female,44.000004,1837.0,12.0,good
24,female,25.999998,2097.0,10.0,good
25,female,36.0,1395.0,6.0,good
26,female,38.999996,429.0,6.0,good
27,female,42.000004,409.0,12.0,good
28,female,34.0,2454.0,7.0,good
29,female,62.999992,6960.0,61.0,bad
30,female,36.0,1946.0,18.0,good
31,female,27.000002,4054.0,23.0,good
32,female,30.000002,5894.0,18.0,good
33,female,57.0,1279.0,12.0,good
34,female,33.000004,1474.0,12.0,good
35,female,25.000002,4769.0,47.0,bad
36,female,30.999998,6136.0,47.0,good
37,female,37.000004,2137.0,18.0,bad
38,female,37.000004,1243.0,10.0,good
39,female,24.0,461.0,9.0,good
40,female,30.000002,2369.0,30.0,good
41,female,25.999998,1172.0,12.0,good
42,female,44.000004,6285.0,18.0,good
43,female,24.0,6183.0,28.0,good
44,female,57.999996,6143.0,48.0,bad
45,female,35.000004,1393.0,11.0,good
46,female,38.999996,2343.0,36.0,good
47,female,23.000002,1352.0,6.0,good
48,female,38.999996,7283.0,10.0,good
49,female,28.000002,2073.0,12.0,good
50,female,28.999998,2366.0,25.0,good
51,female,30.000002,5991.0,27.0,good
52,female,25.000002,1278.0,12.0,good
53,female,30.999998,3423.0,19.0,good
54,female,57.0,2268.0,36.0,bad
55,female,25.999998,791.0,6.0,good
56,female,51.999996,6574.0,11.0,bad
57,female,30.999998,9566.0,36.0,good
58,female,23.000002,1961.0,18.0,good
59,female,23.000002,6229.0,36.0,bad
60,female,27.000002,1410.0,9.0,good
61,female,50.000004,1562.0,15.0,good
62,female,60.999992,1988.0,36.0,bad
63,female,25.000002,14222.0,49.0,bad
64,female,25.999998,3181.0,24.0,good
65,female,48.0,5280.0,27.0,good
66,female,28.999998,2171.0,12.0,good
67,female,22.000002,1017.0,12.0,good
68,female,37.000004,1851.0,36.0,bad
69,female,25.000002,2394.0,36.0,good
70,female,30.000002,8133.0,36.0,good
71,female,46.000004,736.0,7.0,good
72,female,51.0,1178.0,8.0,good
73,female,41.0,5954.0,43.0,good
74,female,40.000004,2013.0,37.0,bad
75,female,66.00001,1546.0,12.0,good
76,female,34.0,4014.0,41.0,bad
77,female,51.0,4864.0,11.0,good
78,female,38.999996,9451.0,53.0,good
79,female,22.000002,3860.0,29.0,good
80,female,44.000004,5943.0,24.0,bad
81,female,47.000004,1229.0,15.0,good
82,female,24.0,1568.0,18.0,good
83,female,57.999996,1755.0,24.0,good
84,female,51.999996,2362.0,10.0,good
85,female,28.999998,1412.0,12.0,good
86,female,27.000002,1295.0,18.0,good
87,female,47.000004,12615.0,36.0,bad
88,female,30.000002,2284.0,18.0,good
89,female,28.000002,1122.0,12.0,bad
90,female,55.999996,622.0,12.0,good
91,female,54.000004,1429.0,12.0,good
92,female,33.000004,797.0,12.0,bad
93,female,20.000002,3647.0,25.0,good
94,female,54.000004,1335.0,12.0,good
95,female,57.999996,15959.0,57.0,bad
96,female,60.999992,2012.0,12.0,good
97,female,34.0,2663.0,18.0,good
98,female,36.0,2377.0,36.0,good
99,female,36.0,7088.0,21.0,good
100,female,41.0,1494.0,23.0,good
101,female,24.0,2352.0,35.0,good
102,female,24.0,932.0,6.0,good
103,female,35.000004,1952.0,9.0,good
104,female,25.999998,2477.0,12.0,good
105,female,38.999996,11880.0,23.0,bad
106,female,38.999996,6522.0,19.0,bad
107,female,32.0,6103.0,12.0,good
108,female,30.000002,7721.0,24.0,good
109,female,35.000004,1432.0,14.0,good
110,female,30.999998,1471.0,6.0,good
111,female,23.000002,392.0,15.0,good
112,female,28.000002,6262.0,17.0,good
113,female,25.000002,7855.0,36.0,bad
114,female,35.000004,1708.0,12.0,good
115,female,47.000004,3648.0,46.0,good
116,female,30.000002,7174.0,42.0,bad
117,female,27.000002,2132.0,10.0,good
118,female,23.000002,4281.0,33.0,bad
119,female,36.0,2406.0,12.0,good
120,female,25.000002,1835.0,21.0,bad
121,female,41.0,3868.0,24.0,good
122,female,24.0,1791.0,12.0,good
123,female,62.999992,786.0,10.0,good
124,female,27.000002,1924.0,18.0,bad
125,female,30.000002,2154.0,12.0,good
126,female,40.000004,708.0,12.0,good
127,female,30.000002,645.0,12.0,bad
128,female,34.0,1891.0,12.0,good
129,female,28.999998,3499.0,12.0,bad
130,female,24.0,8487.0,48.0,good
131,female,28.999998,6881.0,34.0,bad
132,female,27.000002,2742.0,15.0,good
133,female,47.000004,2021.0,18.0,good
134,female,21.000002,10144.0,60.0,good
135,female,38.0,1240.0,12.0,good
136,female,27.000002,8546.0,27.0,good
137,female,66.00001,770.0,12.0,bad
138,female,35.000004,2773.0,15.0,good
139,female,44.000004,1881.0,12.0,good
140,female,27.000002,716.0,6.0,good
141,female,30.000002,4795.0,36.0,good
142,female,27.000002,3452.0,27.0,good
143,female,22.000002,2491.0,19.0,bad
144,female,23.000002,2288.0,21.0,good
145,female,30.000002,3610.0,49.0,good
146,female,38.999996,860.0,6.0,good
147,female,51.0,682.0,12.0,good
148,female,28.000002,5389.0,36.0,good
149,female,46.000004,1609.0,18.0,good
150,female,42.000004,1367.0,6.0,good
151,female,38.0,1958.0,10.0,good
152,female,24.0,5851.0,37.0,good
153,female,28.999998,7758.0,24.0,good
154,female,36.0,6999.0,24.0,good
155,female,20.000002,1282.0,12.0,bad
156,female,48.0,1306.0,9.0,good
157,female,45.000004,341.0,12.0,good
158,female,38.0,3569.0,23.0,good
159,female,34.0,1929.0,6.0,good
160,female,36.0,2919.0,25.0,good
161,female,30.000002,1055.0,18.0,good
162,female,36.0,1281.0,15.0,good
163,female,69.99999,7446.0,10.0,good
164,female,36.0,920.0,36.0,good
165,female,32.0,3020.0,6.0,good
166,female,33.000004,1131.0,18.0,bad
167,female,20.000002,1577.0,11.0,good
168,female,25.000002,3972.0,24.0,good
169,female,30.999998,1966.0,24.0,bad
170,female,33.000004,962.0,15.0,bad
171,female,25.999998,763.0,12.0,good
172,female,34.0,2064.0,24.0,bad
173,female,33.000004,1436.0,8.0,good
174,female,25.999998,3448.0,21.0,bad
175,female,52.999996,7485.0,30.0,bad
176,female,42.000004,2627.0,12.0,good
177,female,51.999996,340.0,6.0,good
178,female,30.999998,1995.0,12.0,good
179,female,65.00001,573.0,21.0,good
180,female,28.000002,9241.0,35.0,bad
181,female,30.000002,4497.0,35.0,bad
182,female,40.000004,1675.0,21.0,bad
183,female,50.000004,3854.0,24.0,good
184,female,36.0,894.0,18.0,bad
185,female,30.999998,1381.0,15.0,good
186,female,74.00001,5129.0,9.0,bad
187,female,68.0,1185.0,16.0,good
188,female,20.000002,679.0,12.0,bad
189,female,33.000004,3244.0,18.0,good
190,female,54.000004,4685.0,24.0,bad
191,female,34.0,3893.0,48.0,bad
192,female,36.0,3968.0,27.0,bad
193,female,28.999998,2139.0,6.0,good
194,female,21.000002,3061.0,47.0,bad
195,female,34.0,1501.0,9.0,bad
196,female,28.000002,1382.0,6.0,good
197,female,27.000002,951.0,12.0,bad
198,female,36.0,2805.0,25.0,good
199,female,40.000004,4363.0,17.0,bad
200,female,51.999996,945.0,9.0,good
201,female,27.000002,1183.0,12.0,good
202,female,25.999998,5137.0,26.0,good
203,female,21.000002,910.0,12.0,bad
204,female,38.0,1519.0,12.0,good
205,female,38.0,10592.0,26.0,good
206,female,43.000004,1971.0,12.0,good
207,female,25.999998,1443.0,12.0,good
208,female,21.000002,6551.0,23.0,good
209,female,55.000004,1433.0,12.0,good
210,female,33.000004,3119.0,9.0,good
211,female,45.000004,3835.0,35.0,good
212,female,50.000004,5388.0,27.0,bad
213,female,66.00001,1941.0,30.0,bad
214,female,51.0,3412.0,37.0,good
