Index,Sex,Age,Credit amount,Duration,Default
0,female,67.0,1159.0,6.0,good
1,female,22.0,5951.0,48.0,bad
2,female,49.0,2070.0,12.0,good
3,female,45.0,7850.0,42.0,good
4,female,53.0,4842.0,24.0,bad
5,female,35.0,9014.0,36.0,good
6,female,53.0,2810.0,24.0,good
7,female,35.0,6902.0,36.0,good
8,female,61.0,3040.0,12.0,good
9,female,28.0,5167.0,30.0,bad
10,female,25.0,1295.0,12.0,bad
11,female,24.0,4308.0,48.0,bad
12,female,22.0,1567.0,12.0,good
13,female,60.0,1186.0,24.0,bad
14,female,28.0,1403.0,15.0,good
15,female,32.0,1282.0,24.0,bad
16,female,53.0,2401.0,24.0,good
17,female,25.0,8004.0,30.0,good
18,female,44.0,12579.0,24.0,bad
19,female,31.0,3370.0,24.0,good
20,female,48.0,2107.0,9.0,good
21,female,44.0,2613.0,6.0,good
22,female,48.0,2214.0,10.0,good
23,female,44.0,1773.0,12.0,good
24,female,26.0,1999.0,10.0,good
25,female,36.0,1335.0,6.0,good
26,female,39.0,420.0,48.0,good
27,female,42.0,409.0,12.0,good
28,female,34.0,2365.0,7.0,good
29,female,63.0,6819.0,60.0,bad
30,female,36.0,1870.0,18.0,good
31,female,27.0,3948.0,24.0,good
32,female,30.0,5806.0,18.0,good
33,female,57.0,1248.0,12.0,good
34,female,33.0,1474.0,12.0,good
35,female,25.0,4669.0,45.0,bad
36,female,31.0,6053.0,48.0,good
37,female,37.0,2057.0,18.0,bad
38,female,37.0,1189.0,10.0,good
39,female,24.0,450.0,48.0,good
40,female,30.0,2275.0,31.0,good
41,female,26.0,996.0,14.0,good
42,female,44.0,6170.0,18.0,good
43,female,24.0,6111.0,30.0,good
44,female,58.0,6143.0,48.0,bad
45,female,35.0,1393.0,11.0,good
46,female,39.0,2259.0,36.0,good
47,female,23.0,1352.0,6.0,good
48,female,39.0,7189.0,11.0,good
49,female,28.0,2073.0,12.0,good
50,female,29.0,2272.0,25.0,good
51,female,30.0,5906.0,27.0,good
52,female,25.0,1188.0,13.0,good
53,female,31.0,3318.0,18.0,good
54,female,57.0,2206.0,36.0,bad
55,female,26.0,770.0,7.0,good
56,female,52.0,6442.0,12.0,bad
57,female,31.0,9566.0,36.0,good
58,female,23.0,1961.0,18.0,good
59,female,23.0,6229.0,36.0,bad
60,female,27.0,1326.0,9.0,good
61,female,50.0,1514.0,15.0,good
62,female,61.0,1937.0,36.0,bad
63,female,25.0,14366.0,48.0,bad
64,female,26.0,3181.0,24.0,good
65,female,48.0,5158.0,27.0,good
66,female,29.0,2171.0,12.0,good
67,female,22.0,982.0,12.0,good
68,female,37.0,1778.0,37.0,bad
69,female,25.0,2394.0,36.0,good
70,female,30.0,8133.0,36.0,good
71,female,46.0,712.0,11.0,good
72,female,51.0,1145.0,8.0,good
73,female,41.0,5954.0,42.0,good
74,female,40.0,1940.0,36.0,bad
75,female,66.0,1514.0,12.0,good
76,female,34.0,3912.0,42.0,bad
77,female,51.0,4743.0,11.0,good
78,female,39.0,9402.0,54.0,good
79,female,22.0,3743.0,31.0,good
80,female,44.0,5943.0,24.0,bad
81,female,47.0,1190.0,15.0,good
82,female,24.0,1568.0,18.0,good
83,female,58.0,1755.0,24.0,good
84,female,52.0,2291.0,10.0,good
85,female,29.0,1412.0,12.0,good
86,female,27.0,1295.0,18.0,good
87,female,47.0,12590.0,36.0,bad
88,female,30.0,2191.0,18.0,good
89,female,28.0,1049.0,13.0,bad
90,female,56.0,607.0,23.0,good
91,female,54.0,1390.0,12.0,good
92,female,33.0,797.0,12.0,bad
93,female,20.0,3521.0,25.0,good
94,female,54.0,1300.0,12.0,good
95,female,58.0,15930.0,54.0,bad
96,female,61.0,2012.0,12.0,good
97,female,34.0,2571.0,18.0,good
98,female,36.0,2292.0,37.0,good
99,female,36.0,7013.0,20.0,good
100,female,41.0,1438.0,24.0,good
101,female,24.0,2246.0,37.0,good
102,female,24.0,932.0,6.0,good
103,female,35.0,1872.0,9.0,good
104,female,26.0,2373.0,12.0,good
105,female,39.0,11910.0,24.0,bad
106,female,39.0,6417.0,18.0,bad
107,female,32.0,6023.0,12.0,good
