Index,Sex,Age,Credit amount,Duration,Default
0,female,67.00001,1077.0,6.0,good
1,female,22.000002,5951.0,48.0,bad
2,female,49.000004,1933.0,12.0,good
3,female,45.000004,7324.0,41.0,good
4,female,52.999996,4525.0,23.0,bad
5,female,35.000004,8413.0,36.0,good
6,female,52.999996,2627.0,23.0,good
7,female,35.000004,6446.0,34.0,good
8,female,60.999992,2827.0,12.0,good
9,female,28.000002,4850.0,29.0,bad
10,female,25.000002,1295.0,12.0,bad
11,female,24.0,4308.0,48.0,bad
12,female,22.000002,1567.0,12.0,good
13,female,60.000004,1104.0,23.0,bad
14,female,28.000002,1403.0,15.0,good
15,female,32.0,1282.0,24.0,bad
16,female,52.999996,2244.0,23.0,good
17,female,25.000002,7503.0,28.0,good
18,female,44.000004,12579.0,24.0,bad
19,female,30.999998,3169.0,23.0,good
20,female,48.0,1969.0,9.0,good
21,female,44.000004,2444.0,6.0,good
22,female,48.0,2068.0,10.0,good
23,female,44.000004,1662.0,12.0,good
24,female,25.999998,1907.0,10.0,good
25,female,36.0,1265.0,6.0,good
26,female,38.999996,391.0,6.0,good
27,female,42.000004,409.0,12.0,good
28,female,34.0,2230.0,7.0,good
29,female,62.999992,6343.0,60.0,bad
30,female,36.0,1764.0,17.0,good
31,female,27.000002,3718.0,23.0,good
32,female,30.000002,5433.0,18.0,good
33,female,57.0,1164.0,12.0,good
34,female,33.000004,1474.0,12.0,good
35,female,25.000002,4399.0,42.0,bad
36,female,30.999998,5657.0,47.0,good
37,female,37.000004,1937.0,17.0,bad
38,female,37.000004,1127.0,10.0,good
39,female,24.0,419.0,9.0,good
40,female,30.000002,2152.0,28.0,good
41,female,25.999998,1064.0,12.0,good
42,female,44.000004,5754.0,16.0,good
43,female,24.0,5742.0,29.0,good
44,female,57.999996,6143.0,48.0,bad
45,female,35.000004,1393.0,11.0,good
46,female,38.999996,2121.0,34.0,good
47,female,23.000002,1352.0,6.0,good
48,female,38.999996,6696.0,10.0,good
49,female,28.000002,2073.0,12.0,good
50,female,28.999998,2150.0,23.0,good
51,female,30.000002,5525.0,25.0,good
52,female,25.000002,1161.0,12.0,good
53,female,30.999998,3121.0,17.0,good
54,female,57.0,2054.0,34.0,bad
55,female,25.999998,718.0,6.0,good
56,female,51.999996,6016.0,11.0,bad
57,female,30.999998,9566.0,36.0,good
58,female,23.000002,1961.0,18.0,good
59,female,23.000002,6229.0,36.0,bad
60,female,27.000002,1279.0,9.0,good
61,female,50.000004,1420.0,14.0,good
62,female,60.999992,1802.0,34.0,bad
63,female,25.000002,13447.0,47.0,bad
64,female,25.999998,3181.0,24.0,good
65,female,48.0,4812.0,26.0,good
66,female,28.999998,2171.0,12.0,good
67,female,22.000002,925.0,12.0,good
68,female,37.000004,1677.0,34.0,bad
69,female,25.000002,2394.0,36.0,good
70,female,30.000002,8133.0,36.0,good
71,female,46.000004,668.0,7.0,good
72,female,51.0,1071.0,8.0,good
73,female,41.0,5954.0,42.0,good
74,female,40.000004,1824.0,34.0,bad
75,female,66.00001,1402.0,12.0,good
76,female,34.0,3669.0,41.0,bad
77,female,51.0,4431.0,11.0,good
78,female,38.999996,8750.0,52.0,good
79,female,22.000002,3547.0,29.0,good
80,female,44.000004,5943.0,24.0,bad
81,female,47.000004,1115.0,14.0,good
82,female,24.0,1568.0,18.0,good
83,female,57.999996,1755.0,24.0,good
84,female,51.999996,2140.0,10.0,good
85,female,28.999998,1412.0,12.0,good
86,female,27.000002,1295.0,18.0,good
87,female,47.000004,11762.0,35.0,bad
88,female,30.000002,2074.0,18.0,good
89,female,28.000002,1018.0,12.0,bad
90,female,55.999996,567.0,12.0,good
91,female,54.000004,1302.0,12.0,good
92,female,33.000004,797.0,12.0,bad
93,female,20.000002,3345.0,23.0,good
94,female,54.000004,1218.0,12.0,good
95,female,57.999996,14841.0,53.0,bad
96,female,60.999992,2012.0,12.0,good
97,female,34.0,2422.0,17.0,good
98,female,36.0,2157.0,34.0,good
99,female,36.0,6546.0,19.0,good
100,female,41.0,1353.0,23.0,good
101,female,24.0,2145.0,34.0,good
102,female,24.0,932.0,6.0,good
103,female,35.000004,1768.0,9.0,good
104,female,25.999998,2255.0,11.0,good
105,female,38.999996,11079.0,22.0,bad
106,female,38.999996,5980.0,17.0,bad
107,female,32.0,5632.0,11.0,good
108,female,30.000002,7721.0,24.0,good
109,female,35.000004,1297.0,14.0,good
110,female,30.999998,1334.0,6.0,good
111,female,23.000002,392.0,15.0,good
112,female,28.000002,5806.0,17.0,good
113,female,25.000002,7855.0,36.0,bad
114,female,35.000004,1547.0,12.0,good
115,female,47.000004,3311.0,47.0,good
116,female,30.000002,7174.0,42.0,bad
117,female,27.000002,2132.0,10.0,good
118,female,23.000002,4281.0,33.0,bad
119,female,36.0,2184.0,12.0,good
120,female,25.000002,1835.0,21.0,bad
121,female,41.0,3868.0,24.0,good
122,female,24.0,1630.0,12.0,good
123,female,62.999992,716.0,10.0,good
124,female,27.000002,1924.0,18.0,bad
125,female,30.000002,1956.0,12.0,good
126,female,40.000004,644.0,12.0,good
127,female,30.000002,586.0,12.0,bad
128,female,34.0,1715.0,12.0,good
129,female,28.999998,3499.0,12.0,bad
130,female,24.0,8487.0,48.0,good
131,female,28.999998,6380.0,34.0,bad
132,female,27.000002,2499.0,15.0,good
133,female,47.000004,1829.0,17.0,good
134,female,21.000002,10144.0,60.0,good
135,female,38.0,1240.0,12.0,good
136,female,27.000002,7997.0,26.0,good
137,female,66.00001,701.0,12.0,bad
138,female,35.000004,2519.0,14.0,good
139,female,44.000004,1881.0,12.0,good
140,female,27.000002,650.0,6.0,good
141,female,30.000002,4795.0,36.0,good
142,female,27.000002,3156.0,26.0,good
143,female,22.000002,2273.0,17.0,bad
144,female,23.000002,2288.0,21.0,good
145,female,30.000002,3296.0,47.0,good
146,female,38.999996,860.0,6.0,good
147,female,51.0,682.0,12.0,good
148,female,28.000002,4977.0,35.0,good
149,female,46.000004,1455.0,17.0,good
150,female,42.000004,1240.0,6.0,good
151,female,38.0,1776.0,10.0,good
152,female,24.0,5426.0,35.0,good
153,female,28.999998,7758.0,24.0,good
154,female,36.0,6463.0,22.0,good
155,female,20.000002,1282.0,12.0,bad
156,female,48.0,1185.0,9.0,good
157,female,45.000004,309.0,12.0,good
158,female,38.0,3246.0,23.0,good
159,female,34.0,1751.0,6.0,good
160,female,36.0,2654.0,23.0,good
161,female,30.000002,1055.0,18.0,good
162,female,36.0,1162.0,15.0,good
163,female,69.99999,6793.0,10.0,good
164,female,36.0,836.0,36.0,good
165,female,32.0,2751.0,6.0,good
166,female,33.000004,1131.0,18.0,bad
167,female,20.000002,1577.0,11.0,good
168,female,25.000002,3972.0,24.0,good
169,female,30.999998,1784.0,23.0,bad
170,female,33.000004,874.0,15.0,bad
171,female,25.999998,763.0,12.0,good
172,female,34.0,2064.0,24.0,bad
173,female,33.000004,1303.0,8.0,good
174,female,25.999998,3154.0,20.0,bad
175,female,52.999996,7485.0,30.0,bad
176,female,42.000004,2380.0,12.0,good
177,female,51.999996,309.0,6.0,good
178,female,30.999998,1810.0,12.0,good
179,female,65.00001,524.0,21.0,good
180,female,28.000002,8899.0,36.0,bad
181,female,30.000002,4121.0,34.0,bad
182,female,40.000004,1519.0,20.0,bad
183,female,50.000004,3504.0,23.0,good
184,female,36.0,813.0,17.0,bad
185,female,30.999998,1252.0,14.0,good
186,female,74.00001,5129.0,9.0,bad
187,female,68.0,1084.0,15.0,good
188,female,20.000002,618.0,12.0,bad
189,female,33.000004,3244.0,18.0,good
190,female,54.000004,4261.0,23.0,bad
191,female,34.0,3556.0,47.0,bad
192,female,36.0,3622.0,26.0,bad
193,female,28.999998,1942.0,6.0,good
194,female,21.000002,2801.0,43.0,bad
195,female,34.0,1501.0,9.0,bad
196,female,28.000002,1382.0,6.0,good
197,female,27.000002,951.0,12.0,bad
198,female,36.0,2550.0,23.0,good
199,female,40.000004,3977.0,17.0,bad
200,female,51.999996,861.0,9.0,good
201,female,27.000002,1073.0,12.0,good
202,female,25.999998,4738.0,26.0,good
203,female,21.000002,828.0,12.0,bad
204,female,38.0,1379.0,12.0,good
205,female,38.0,9843.0,29.0,good
206,female,43.000004,1782.0,12.0,good
207,female,25.999998,1310.0,12.0,good
208,female,21.000002,6095.0,23.0,good
209,female,55.000004,1299.0,12.0,good
210,female,33.000004,2841.0,9.0,good
211,female,45.000004,3835.0,36.0,good
212,female,50.000004,4918.0,26.0,bad
213,female,66.00001,1755.0,28.0,bad
214,female,51.0,3097.0,35.0,good
215,female,38.999996,932.0,6.0,good
216,female,30.999998,2867.0,17.0,good
217,female,23.000002,3624.0,34.0,good
218,female,24.0,2793.0,23.0,good
219,female,64.0,1364.0,10.0,good
220,female,25.999998,572.0,12.0,good
221,female,23.000002,1200.0,12.0,good
222,female,30.000002,649.0,12.0,good
223,female,32.0,2751.0,23.0,good
224,female,30.000002,4309.0,14.0,good
225,female,27.000002,2411.0,34.0,good
226,female,27.000002,10190.0,47.0,bad
227,female,52.999996,7326.0,11.0,bad
228,female,22.000002,1360.0,9.0,bad
229,female,22.000002,2911.0,23.0,good
230,female,25.999998,3894.0,34.0,bad
231,female,51.0,2318.0,9.0,good
232,female,35.000004,1974.0,12.0,good
233,female,25.000002,795.0,17.0,good
234,female,42.000004,1424.0,4.0,good
235,female,30.000002,1680.0,23.0,bad
236,female,23.000002,13558.0,6.0,bad
237,female,60.999992,2556.0,20.0,bad
238,female,35.000004,1291.0,12.0,good
239,female,38.999996,2328.0,28.0,good
240,female,28.999998,915.0,24.0,bad
241,female,51.0,1471.0,6.0,good
242,female,24.0,4268.0,47.0,bad
243,female,27.000002,1185.0,12.0,good
244,female,35.000004,3447.0,12.0,good
245,female,25.000002,1158.0,23.0,good
246,female,51.999996,658.0,12.0,good
247,female,35.000004,1107.0,6.0,good
248,female,25.999998,1773.0,23.0,good
249,female,22.000002,433.0,18.0,bad
250,female,38.999996,666.0,6.0,good
251,female,46.000004,2251.0,12.0,good
252,female,24.0,2150.0,30.0,bad
253,female,35.000004,3841.0,23.0,good
254,female,24.0,1873.0,9.0,good
255,female,27.000002,6882.0,59.0,good
256,female,35.000004,2478.0,23.0,good
257,female,28.999998,1980.0,11.0,bad
258,female,23.000002,3812.0,15.0,good
