Index,Sex,Age,Credit amount,Duration,Default
0,female,67.00001,1170.0,6.0,good
1,female,22.000002,5951.0,48.0,bad
2,female,49.000004,2078.0,12.0,good
3,female,45.000004,7743.0,42.0,good
4,female,52.999996,4839.0,24.0,bad
5,female,35.000004,8683.0,35.0,good
6,female,52.999996,2821.0,24.0,good
7,female,35.000004,6674.0,35.0,good
8,female,60.999992,3054.0,12.0,good
9,female,28.000002,4909.0,29.0,bad
10,female,25.000002,1295.0,12.0,bad
11,female,24.0,4308.0,48.0,bad
12,female,22.000002,1567.0,12.0,good
13,female,60.000004,1199.0,24.0,bad
14,female,28.000002,1403.0,15.0,good
15,female,32.0,1282.0,24.0,bad
16,female,52.999996,2413.0,24.0,good
17,female,25.000002,7465.0,28.0,good
18,female,44.000004,12579.0,24.0,bad
19,female,30.999998,3273.0,23.0,good
20,female,48.0,2113.0,9.0,good
21,female,44.000004,2607.0,6.0,good
22,female,48.0,2218.0,10.0,good
23,female,44.000004,1781.0,12.0,good
24,female,25.999998,1953.0,10.0,good
25,female,36.0,1343.0,6.0,good
26,female,38.999996,424.0,6.0,good
27,female,42.000004,409.0,12.0,good
28,female,34.0,2335.0,7.0,good
29,female,62.999992,6827.0,60.0,bad
30,female,36.0,1864.0,18.0,good
31,female,27.000002,3768.0,23.0,good
32,female,30.000002,5546.0,17.0,good
33,female,57.0,1261.0,12.0,good
34,female,33.000004,1474.0,12.0,good
35,female,25.000002,4407.0,44.0,bad
36,female,30.999998,5796.0,47.0,good
37,female,37.000004,2048.0,18.0,bad
38,female,37.000004,1202.0,10.0,good
39,female,24.0,449.0,9.0,good
40,female,30.000002,2230.0,30.0,good
41,female,25.999998,1107.0,12.0,good
42,female,44.000004,6087.0,18.0,good
43,female,24.0,5707.0,29.0,good
44,female,57.999996,6143.0,48.0,bad
45,female,35.000004,1393.0,11.0,good
46,female,38.999996,2250.0,36.0,good
47,female,23.000002,1352.0,6.0,good
48,female,38.999996,7018.0,11.0,good
49,female,28.000002,2073.0,12.0,good
50,female,28.999998,2224.0,24.0,good
51,female,30.000002,5639.0,26.0,good
52,female,25.000002,1201.0,12.0,good
53,female,30.999998,3224.0,18.0,good
54,female,57.0,2219.0,36.0,bad
55,female,25.999998,757.0,6.0,good
56,female,51.999996,6416.0,12.0,bad
57,female,30.999998,9566.0,36.0,good
58,female,23.000002,1961.0,18.0,good
59,female,23.000002,6229.0,36.0,bad
60,female,27.000002,1328.0,9.0,good
61,female,50.000004,1529.0,15.0,good
62,female,60.999992,1951.0,36.0,bad
63,female,25.000002,13906.0,47.0,bad
64,female,25.999998,3181.0,24.0,good
65,female,48.0,5122.0,27.0,good
66,female,28.999998,2171.0,12.0,good
67,female,22.000002,955.0,12.0,good
68,female,37.000004,1777.0,36.0,bad
