Index,Sex,Age,Credit amount,Duration,Default
0,female,67.0,1203.0,6.0,good
1,female,22.0,5951.0,48.0,bad
2,female,49.0,2178.0,12.0,good
3,female,45.0,8425.0,42.0,good
4,female,53.0,5158.0,24.0,bad
5,female,35.0,9692.0,36.0,good
6,female,53.0,2968.0,24.0,good
7,female,35.0,7393.0,36.0,good
8,female,61.0,3214.0,12.0,good
9,female,28.0,5526.0,30.0,bad
10,female,25.0,1295.0,12.0,bad
11,female,24.0,4308.0,48.0,bad
12,female,22.0,1567.0,12.0,good
13,female,60.0,1233.0,24.0,bad
14,female,28.0,1403.0,15.0,good
15,female,32.0,1282.0,24.0,bad
16,female,53.0,2529.0,24.0,good
17,female,25.0,8604.0,30.0,good
18,female,44.0,12579.0,24.0,bad
19,female,31.0,3590.0,24.0,good
20,female,48.0,2218.0,9.0,good
21,female,44.0,2761.0,6.0,good
22,female,48.0,2331.0,10.0,good
23,female,44.0,1866.0,12.0,good
24,female,26.0,2140.0,10.0,good
25,female,36.0,1410.0,6.0,good
26,female,39.0,426.0,6.0,good
27,female,42.0,409.0,12.0,good
28,female,34.0,2511.0,7.0,good
29,female,63.0,7312.0,60.0,bad
30,female,36.0,1978.0,18.0,good
31,female,27.0,4220.0,24.0,good
32,female,30.0,6213.0,18.0,good
33,female,57.0,1299.0,12.0,good
34,female,33.0,1474.0,12.0,good
35,female,25.0,4999.0,45.0,bad
36,female,31.0,6477.0,48.0,good
37,female,37.0,2177.0,18.0,bad
38,female,37.0,1254.0,10.0,good
39,female,24.0,458.0,9.0,good
40,female,30.0,2421.0,30.0,good
41,female,26.0,1183.0,12.0,good
42,female,44.0,6596.0,18.0,good
43,female,24.0,6553.0,30.0,good
44,female,58.0,6143.0,48.0,bad
45,female,35.0,1393.0,11.0,good
46,female,39.0,2389.0,37.0,good
47,female,23.0,1352.0,6.0,good
48,female,39.0,7704.0,11.0,good
49,female,28.0,2073.0,12.0,good
50,female,29.0,2422.0,24.0,good
51,female,30.0,6320.0,27.0,good
52,female,25.0,1290.0,12.0,good
53,female,31.0,3534.0,18.0,good
54,female,57.0,2315.0,37.0,bad
55,female,26.0,793.0,6.0,good
56,female,52.0,6896.0,12.0,bad
57,female,31.0,9566.0,36.0,good
58,female,23.0,1961.0,18.0,good
59,female,23.0,6229.0,36.0,bad
60,female,27.0,1426.0,9.0,good
61,female,50.0,1585.0,15.0,good
62,female,61.0,2031.0,37.0,bad
63,female,25.0,15572.0,48.0,bad
64,female,26.0,3181.0,24.0,good
65,female,48.0,5504.0,27.0,good
66,female,29.0,2171.0,12.0,good
67,female,22.0,1024.0,12.0,good
68,female,37.0,1879.0,37.0,bad
69,female,25.0,2394.0,36.0,good
70,female,30.0,8133.0,36.0,good
71,female,46.0,741.0,7.0,good
72,female,51.0,1195.0,8.0,good
73,female,41.0,5954.0,42.0,good
74,female,40.0,2049.0,37.0,bad
75,female,66.0,1578.0,12.0,good
76,female,34.0,4166.0,42.0,bad
77,female,51.0,5056.0,11.0,good
78,female,39.0,10117.0,54.0,good
79,female,22.0,4015.0,30.0,good
80,female,44.0,5943.0,24.0,bad
81,female,47.0,1244.0,15.0,good
82,female,24.0,1568.0,18.0,good
83,female,58.0,1755.0,24.0,good
84,female,52.0,2410.0,10.0,good
85,female,29.0,1412.0,12.0,good
86,female,27.0,1295.0,18.0,good
87,female,47.0,13658.0,36.0,bad
88,female,30.0,2332.0,18.0,good
89,female,28.0,1130.0,12.0,bad
90,female,56.0,627.0,12.0,good
91,female,54.0,1451.0,12.0,good
92,female,33.0,797.0,12.0,bad
93,female,20.0,3784.0,24.0,good
94,female,54.0,1355.0,12.0,good
95,female,58.0,17370.0,54.0,bad
96,female,61.0,2012.0,12.0,good
97,female,34.0,2731.0,18.0,good
98,female,36.0,2427.0,37.0,good
99,female,36.0,7514.0,20.0,good
100,female,41.0,1512.0,24.0,good
101,female,24.0,2408.0,37.0,good
102,female,24.0,932.0,6.0,good
103,female,35.0,1984.0,9.0,good
104,female,26.0,2538.0,12.0,good
105,female,39.0,12867.0,24.0,bad
106,female,39.0,6866.0,18.0,bad
107,female,32.0,6448.0,12.0,good
108,female,30.0,7721.0,24.0,good
109,female,35.0,1448.0,14.0,good
110,female,31.0,1488.0,6.0,good
111,female,23.0,392.0,15.0,good
112,female,28.0,6635.0,18.0,good
113,female,25.0,7855.0,36.0,bad
114,female,35.0,1732.0,12.0,good
115,female,47.0,3763.0,49.0,good
116,female,30.0,7174.0,42.0,bad
117,female,27.0,2132.0,10.0,good
118,female,23.0,4281.0,33.0,bad
119,female,36.0,2458.0,12.0,good
120,female,25.0,1835.0,21.0,bad
121,female,41.0,3868.0,24.0,good
122,female,24.0,1822.0,12.0,good
123,female,63.0,797.0,10.0,good
124,female,27.0,1924.0,18.0,bad
125,female,30.0,2196.0,12.0,good
126,female,40.0,710.0,12.0,good
127,female,30.0,644.0,12.0,bad
128,female,34.0,1923.0,12.0,good
129,female,29.0,3499.0,12.0,bad
130,female,24.0,8487.0,48.0,good
131,female,29.0,7317.0,36.0,bad
132,female,27.0,2818.0,15.0,good
133,female,47.0,2058.0,18.0,good
134,female,21.0,10144.0,60.0,good
135,female,38.0,1240.0,12.0,good
136,female,27.0,9197.0,27.0,good
137,female,66.0,779.0,12.0,bad
138,female,35.0,2843.0,15.0,good
139,female,44.0,1881.0,12.0,good
140,female,27.0,716.0,6.0,good
141,female,30.0,4795.0,36.0,good
142,female,27.0,3573.0,27.0,good
143,female,22.0,2554.0,18.0,bad
144,female,23.0,2288.0,21.0,good
145,female,30.0,3735.0,49.0,good
146,female,39.0,860.0,6.0,good
147,female,51.0,682.0,12.0,good
148,female,28.0,5674.0,36.0,good
149,female,46.0,1634.0,18.0,good
150,female,42.0,1383.0,6.0,good
151,female,38.0,1991.0,10.0,good
152,female,24.0,6187.0,36.0,good
153,female,29.0,7758.0,24.0,good
154,female,36.0,7416.0,24.0,good
155,female,20.0,1282.0,12.0,bad
156,female,48.0,1323.0,9.0,good
157,female,45.0,338.0,12.0,good
158,female,38.0,3683.0,24.0,good
159,female,34.0,1963.0,6.0,good
160,female,36.0,2997.0,24.0,good
161,female,30.0,1055.0,18.0,good
162,female,36.0,1293.0,15.0,good
163,female,70.0,7857.0,10.0,good
164,female,36.0,924.0,34.0,good
165,female,32.0,3108.0,6.0,good
166,female,33.0,1131.0,18.0,bad
167,female,20.0,1577.0,11.0,good
168,female,25.0,3972.0,24.0,good
169,female,31.0,2000.0,24.0,bad
170,female,33.0,967.0,15.0,bad
171,female,26.0,763.0,12.0,good
172,female,34.0,2064.0,24.0,bad
173,female,33.0,1452.0,8.0,good
174,female,26.0,3569.0,21.0,bad
175,female,53.0,7485.0,30.0,bad
176,female,42.0,2686.0,12.0,good
177,female,52.0,337.0,6.0,good
178,female,31.0,2029.0,12.0,good
179,female,65.0,578.0,21.0,good
180,female,28.0,10242.0,36.0,bad
181,female,30.0,4690.0,36.0,bad
182,female,40.0,1700.0,21.0,bad
183,female,50.0,3979.0,24.0,good
184,female,36.0,898.0,18.0,bad
185,female,31.0,1395.0,15.0,good
186,female,74.0,5129.0,9.0,bad
187,female,68.0,1211.0,16.0,good
188,female,20.0,679.0,12.0,bad
189,female,33.0,3244.0,18.0,good
190,female,54.0,4857.0,24.0,bad
191,female,34.0,4037.0,49.0,bad
192,female,36.0,4114.0,27.0,bad
193,female,29.0,2183.0,6.0,good
194,female,21.0,3160.0,46.0,bad
195,female,34.0,1501.0,9.0,bad
196,female,28.0,1382.0,6.0,good
197,female,27.0,951.0,12.0,bad
198,female,36.0,2877.0,24.0,good
199,female,40.0,4527.0,18.0,bad
200,female,52.0,954.0,9.0,good
201,female,27.0,1193.0,12.0,good
202,female,26.0,5396.0,27.0,good
203,female,21.0,915.0,12.0,bad
204,female,38.0,1538.0,12.0,good
205,female,38.0,11419.0,30.0,good
206,female,43.0,2004.0,12.0,good
207,female,26.0,1461.0,12.0,good
208,female,21.0,6966.0,24.0,good
209,female,55.0,1458.0,12.0,good
210,female,33.0,3210.0,9.0,good
211,female,45.0,3835.0,36.0,good
212,female,50.0,5622.0,27.0,bad
213,female,66.0,1984.0,31.0,bad
214,female,51.0,3513.0,37.0,good
215,female,39.0,932.0,6.0,good
216,female,31.0,3242.0,18.0,good
217,female,23.0,4102.0,36.0,good
218,female,24.0,3150.0,24.0,good
219,female,64.0,1364.0,10.0,good
220,female,26.0,630.0,12.0,good
221,female,23.0,1200.0,12.0,good
222,female,30.0,714.0,12.0,good
223,female,32.0,3108.0,24.0,good
224,female,30.0,4907.0,15.0,good
225,female,27.0,2717.0,37.0,good
226,female,27.0,11767.0,48.0,bad
227,female,53.0,8416.0,12.0,bad
228,female,22.0,1516.0,9.0,bad
229,female,22.0,3285.0,24.0,good
230,female,26.0,4421.0,36.0,bad
231,female,51.0,2618.0,9.0,good
232,female,35.0,2219.0,12.0,good
233,female,25.0,878.0,18.0,good
234,female,42.0,1591.0,4.0,good
235,female,30.0,1881.0,24.0,bad
236,female,23.0,15713.0,6.0,bad
