,partial_model,full_model,sample_size,batch_size,seed
0,0.02375706434249878,0.044488187630971274,256,32,0
1,0.023822549978892008,0.044160306453704834,256,32,1
2,0.023902491728464762,0.04406882127126058,256,32,2
3,0.023985648155212404,0.04404135545094808,256,32,3
4,0.02391298214594523,0.0443958044052124,256,32,4
5,0.023872764905293782,0.04421940247217814,256,32,5
6,0.023941659927368165,0.04418120781580607,256,32,6
7,0.023856329917907714,0.04426585833231608,256,32,7
8,0.024045113722483316,0.044403274854024254,256,32,8
9,0.023867098490397136,0.04425981839497884,256,32,9
10,0.014192652702331544,0.025575808684031167,256,64,0
11,0.014184621969858806,0.025602535406748454,256,64,1
12,0.014230636755625407,0.025604482491811117,256,64,2
13,0.01418441931406657,0.025599459807078045,256,64,3
14,0.014232540130615234,0.02566346327463786,256,64,4
15,0.014327685038248697,0.025680820147196453,256,64,5
16,0.014186469713846843,0.025704451402028403,256,64,6
17,0.014198585351308187,0.02563698689142863,256,64,7
18,0.014174588521321614,0.025556441148122153,256,64,8
19,0.014213228225708007,0.02562240759531657,256,64,9
20,0.009352684020996094,0.015842990080515543,256,128,0
21,0.009054815769195557,0.0160029133160909,256,128,1
22,0.00909953514734904,0.01610600153605143,256,128,2
23,0.009177939097086588,0.015878009796142577,256,128,3
24,0.0092362642288208,0.01630765994389852,256,128,4
25,0.009618405501047771,0.016254464785257976,256,128,5
26,0.009341200192769369,0.016680522759755453,256,128,6
27,0.009139370918273926,0.016474751631418864,256,128,7
28,0.009413810571034749,0.016020039717356365,256,128,8
29,0.009246587753295898,0.016034805774688722,256,128,9
30,0.006841739018758138,0.011414511998494466,256,256,0
31,0.00691303014755249,0.011575722694396972,256,256,1
32,0.006916912396748861,0.011197924613952637,256,256,2
33,0.006835269927978516,0.011468044916788737,256,256,3
34,0.006873194376627604,0.011489439010620116,256,256,4
35,0.0069329182306925455,0.01146185000737508,256,256,5
36,0.006778113047281901,0.01132059892018636,256,256,6
37,0.007038489977518717,0.011391548315684001,256,256,7
38,0.006960821151733398,0.011487261454264323,256,256,8
39,0.006913435459136963,0.011387832959493001,256,256,9
40,0.04494406382242839,0.08286950985590617,512,32,0
41,0.04470041592915853,0.08277326822280884,512,32,1
42,0.04462728897730509,0.08285673062006632,512,32,2
43,0.0448939839998881,0.0829038937886556,512,32,3
44,0.04465669393539429,0.08292961120605469,512,32,4
45,0.04457781712214152,0.08291109005610148,512,32,5
46,0.04475331703821818,0.08271295626958211,512,32,6
47,0.04466386238733928,0.08253899017969767,512,32,7
48,0.044679375489552815,0.08263370990753174,512,32,8
49,0.04467935959498088,0.0827426274617513,512,32,9
50,0.025375203291575114,0.04584909677505493,512,64,0
51,0.025451989968617757,0.04582086006800334,512,64,1
52,0.025459853808085124,0.045818889141082765,512,64,2
53,0.025436011950174968,0.04587826331456502,512,64,3
54,0.025480365753173827,0.04576994180679321,512,64,4
55,0.025638027985890707,0.04573971430460612,512,64,5
56,0.025483612219492593,0.04580348332722982,512,64,6
57,0.02546166976292928,0.04579545656840007,512,64,7
58,0.025445830821990967,0.04592911799748738,512,64,8
59,0.02542588710784912,0.045785152912139894,512,64,9
60,0.017231984933217367,0.029493109385172526,512,128,0
61,0.016942552725474038,0.02972558339436849,512,128,1
62,0.016896402835845946,0.029500718911488852,512,128,2
63,0.01689016024271647,0.029382296403249106,512,128,3
64,0.016590321063995363,0.028861995538075766,512,128,4
65,0.016737786928812663,0.02897340456644694,512,128,5
66,0.016639784971872965,0.02916358709335327,512,128,6
67,0.016644628842671712,0.028906838099161784,512,128,7
68,0.016581050554911294,0.029255906740824383,512,128,8
69,0.016691974798838296,0.028908427556355795,512,128,9
70,0.011669508616129557,0.019001444180806477,512,256,0
